# CPU: Intel(R) Xeon(R) E-2276G CPU @ 3.80GHz
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (3.1633 sec) vs Schnorr (3.2712 sec):
# Suggested budget: 10341.1 varops per weight unit (current: 10000)
# Formula: 10000 / 3.1633 * 3.2712 = 10341.1
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2  2.848 sec  (100.0% varops)
# Schnorr (80K sigs):       3.271 sec
# Schnorr realistic (~10K): 0.409 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  3.163 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 1.111
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.2712,80000,0,false
2,2DUP_DIV_DROP_200B_divisor_50B,3.1633,77361.3,100,true
3,2DUP_MOD_DROP_200B_divisor_50B,3.12244,76362,100,true
4,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,2.84801,69650.5,99.9999,false
5,2DUP_DIV_DROP_200B_divisor_1B,2.81532,68851.2,100,true
6,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.79231,68288.4,99.9999,false
7,2DUP_MOD_DROP_200B_divisor_1B,2.7554,67385.8,100,true
8,HASH256_DROP_DUP_520Bx2,2.63119,64348,91.8667,false
9,2DUP_DIV_DROP_200B_divisor_12B,2.63084,64339.5,100,true
10,HASH160_DROP_DUP_520Bx2,2.58279,63164.5,91.8667,false
11,2DUP_MOD_DROP_200B_divisor_12B,2.55851,62570.6,100,true
12,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,2.55147,62398.4,99.9999,false
13,HASH256_DROP_DUP_1KBx2,2.47062,60421.3,100,true
14,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,2.4596,60151.6,100,true
15,HASH160_DROP_DUP_1KBx2,2.44431,59777.8,100,true
16,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,2.43201,59476.9,100,true
17,2DUP_DIV_DROP_256B_divisor_64B,2.42947,59414.9,100,true
18,2DUP_MOD_DROP_256B_divisor_64B,2.40708,58867.4,100,true
19,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.37577,58101.5,6.68572,false
20,SHA256_DROP_DUP_520Bx2,2.35976,57710,91.8667,false
21,SHA256_DROP_DUP_1KBx2,2.31933,56721.4,100,true
22,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,2.30879,56463.5,100,true
23,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_2KBx2,2.26585,55413.5,100,true
24,HASH256_DROP_DUP_2KBx2,2.26213,55322.5,100,true
25,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_2KBx2,2.25322,55104.4,100,true
26,HASH160_DROP_DUP_2KBx2,2.24949,55013.4,100,true
27,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_2KBx2,2.19274,53625.3,100,true
28,SHA256_DROP_DUP_2KBx2,2.18766,53501.3,100,true
29,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_4KBx2,2.15509,52704.6,100,true
30,HASH256_DROP_DUP_4KBx2,2.15282,52649.2,100,true
31,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_4KBx2,2.14755,52520.2,100,true
32,HASH160_DROP_DUP_4KBx2,2.14709,52509.1,100,true
33,2DUP_DIV_DROP_256B_divisor_1B,2.14449,52445.4,100,true
34,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_4KBx2,2.11921,51827.2,100,true
35,SHA256_DROP_DUP_4KBx2,2.11335,51683.9,100,true
36,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_8KBx2,2.10395,51453.9,99.9995,true
37,2DUP_MOD_DROP_256B_divisor_1B,2.1036,51445.4,100,true
38,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_8KBx2,2.10125,51388,99.9995,true
39,HASH256_DROP_DUP_8KBx2,2.09281,51181.5,99.9994,true
40,HASH160_DROP_DUP_8KBx2,2.09041,51122.8,99.9994,true
41,HASH256_DROP_DUP_4MBx2,2.08976,51107,99.64,true
42,HASH160_DROP_DUP_4MBx2,2.08904,51089.2,99.64,true
43,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_8KBx2,2.08556,51004.2,99.9995,true
44,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_256Bx2,2.08447,50977.6,58.1486,false
45,SHA256_DROP_DUP_4MBx2,2.07958,50858,99.64,true
46,SHA256_DROP_DUP_8KBx2,2.07516,50749.9,99.9994,true
47,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_16KBx2,2.07272,50690.1,99.9995,true
48,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_16KBx2,2.0722,50677.4,99.9995,true
49,HASH160_DROP_DUP_16KBx2,2.07063,50639,99.9994,true
50,HASH256_DROP_DUP_16KBx2,2.0701,50626.1,99.9994,true
51,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_32KBx2,2.06538,50510.6,99.9999,true
52,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_32KBx2,2.06504,50502.3,99.9999,true
53,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_16KBx2,2.06457,50490.9,99.9995,true
54,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_32KBx2,2.0604,50388.8,99.9999,true
55,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_64KBx2,2.05987,50375.8,99.9999,true
56,SHA256_DROP_DUP_16KBx2,2.05959,50369.1,99.9994,true
57,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_64KBx2,2.0595,50366.8,99.9999,true
58,HASH160_DROP_DUP_256KBx2,2.05949,50366.7,99.9994,true
59,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1.3MBx2,2.05883,50350.6,99.9495,true
60,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1.3MBx2,2.0586,50344.8,99.9495,true
61,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1.3MBx2,2.05846,50341.4,99.9495,true
62,HASH160_DROP_DUP_32KBx2,2.05783,50326.1,99.9994,true
63,HASH256_DROP_DUP_2MBx2,2.05771,50323.1,99.905,true
64,HASH256_DROP_DUP_32KBx2,2.05748,50317.4,99.9994,true
