# CPU: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (3.33188 sec) vs Schnorr (3.45363 sec):
# Suggested budget: 10365.4 varops per weight unit (current: 10000)
# Formula: 10000 / 3.33188 * 3.45363 = 10365.4
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2  3.004 sec  (100.0% varops)
# Schnorr (80K sigs):       3.454 sec
# Schnorr realistic (~10K): 0.432 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  3.332 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 1.109
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.45363,80000,0,false
2,2DUP_DIV_DROP_200B_divisor_50B,3.33188,77179.8,100,true
3,2DUP_MOD_DROP_200B_divisor_50B,3.29597,76348,100,true
4,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,3.00382,69580.5,99.9999,false
5,2DUP_DIV_DROP_200B_divisor_1B,2.96304,68636,100,true
6,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.94495,68217,99.9999,false
7,2DUP_MOD_DROP_200B_divisor_1B,2.89992,67173.8,100,true
8,HASH256_DROP_DUP_520Bx2,2.77494,64278.8,91.8667,false
9,2DUP_DIV_DROP_200B_divisor_12B,2.77172,64204.1,100,true
10,HASH160_DROP_DUP_520Bx2,2.72385,63095.4,91.8667,false
11,2DUP_MOD_DROP_200B_divisor_12B,2.69607,62451.8,100,true
12,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,2.69049,62322.7,99.9999,false
13,HASH256_DROP_DUP_1KBx2,2.60766,60404,100,true
14,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,2.59507,60112.4,100,true
15,HASH160_DROP_DUP_1KBx2,2.5781,59719.2,100,true
16,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,2.56631,59446.1,100,true
17,2DUP_DIV_DROP_256B_divisor_64B,2.56524,59421.4,100,true
18,2DUP_MOD_DROP_256B_divisor_64B,2.538,58790.3,100,true
19,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.50684,58068.5,6.68572,false
20,SHA256_DROP_DUP_520Bx2,2.48809,57634.1,91.8667,false
21,SHA256_DROP_DUP_1KBx2,2.44746,56693,100,true
22,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,2.43577,56422.2,100,true
23,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_2KBx2,2.39211,55410.8,100,true
24,HASH256_DROP_DUP_2KBx2,2.38732,55299.9,100,true
25,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_2KBx2,2.37829,55090.8,100,true
26,HASH160_DROP_DUP_2KBx2,2.37316,54972,100,true
27,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_2KBx2,2.31364,53593.1,100,true
28,SHA256_DROP_DUP_2KBx2,2.30874,53479.7,100,true
29,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_4KBx2,2.2767,52737.4,100,true
30,HASH256_DROP_DUP_4KBx2,2.27352,52663.8,100,true
31,HASH160_DROP_DUP_4KBx2,2.26793,52534.3,100,true
32,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_4KBx2,2.26721,52517.7,100,true
33,2DUP_DIV_DROP_256B_divisor_1B,2.25561,52249,100,true
34,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_4KBx2,2.23673,51811.7,100,true
35,SHA256_DROP_DUP_4KBx2,2.23038,51664.6,100,true
36,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_8KBx2,2.22156,51460.3,99.9995,true
37,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_8KBx2,2.21759,51368.2,99.9995,true
38,HASH256_DROP_DUP_4MBx2,2.21635,51339.6,99.64,true
39,HASH160_DROP_DUP_4MBx2,2.21507,51310,99.64,true
40,2DUP_MOD_DROP_256B_divisor_1B,2.2139,51282.9,100,true
41,HASH256_DROP_DUP_8KBx2,2.2102,51197.2,99.9994,true
42,HASH160_DROP_DUP_8KBx2,2.20731,51130.3,99.9994,true
43,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_8KBx2,2.20241,51016.7,99.9995,true
44,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_256Bx2,2.20058,50974.3,58.1486,false
45,SHA256_DROP_DUP_8KBx2,2.18996,50728.3,99.9994,true
46,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_16KBx2,2.18847,50693.7,99.9995,true
47,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_16KBx2,2.18774,50676.9,99.9995,true
48,HASH160_DROP_DUP_16KBx2,2.18671,50653.1,99.9994,true
49,HASH256_DROP_DUP_16KBx2,2.18546,50624,99.9994,true
50,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_32KBx2,2.18022,50502.8,99.9999,true
51,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_32KBx2,2.17964,50489.3,99.9999,true
52,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_16KBx2,2.17918,50478.5,99.9995,true
53,SHA256_DROP_DUP_4MBx2,2.17839,50460.4,99.64,true
54,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1.3MBx2,2.17737,50436.8,99.9495,true
55,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1.3MBx2,2.17726,50434,99.9495,true
56,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1.3MBx2,2.17625,50410.6,99.9495,true
57,SHA256_DROP_DUP_16KBx2,2.1758,50400.3,99.9994,true
58,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_32KBx2,2.17564,50396.5,99.9999,true
59,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_64KBx2,2.17433,50366.2,99.9999,true
60,HASH160_DROP_DUP_256KBx2,2.17409,50360.7,99.9994,true
61,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_64KBx2,2.17387,50355.5,99.9999,true
62,HASH160_DROP_DUP_32KBx2,2.1729,50333,99.9994,true
63,HASH256_DROP_DUP_32KBx2,2.17283,50331.4,99.9994,true
64,SHA256_DROP_DUP_512KBx2,2.17263,50326.9,99.9647,true
65,HASH256_DROP_DUP_2MBx2,2.17245,50322.7,99.905,true
66,HASH256_DROP_DUP_256KBx2,2.17235,50320.3,99.9994,true
67,HASH160_DROP_DUP_2MBx2,2.17218,50316.4,99.905,true
68,SHA256_DROP_DUP_256KBx2,2.17205,50313.5,99.9994,true
69,HASH160_DROP_DUP_512KBx2,2.17204,50313.1,99.9647,true
70,SHA256_DROP_DUP_2MBx2,2.17184,50308.7,99.905,true
71,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_512KBx2,2.17161,50303.1,99.9686,true
72,SHA256_DROP_DUP_1MBx2,2.17156,50302.1,99.8952,true
73,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_128KBx2,2.17156,50302,99.985,true
74,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_128KBx2,2.17152,50301.1,99.985,true
75,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_512KBx2,2.1715,50300.7,99.9686,true
76,SHA256_DROP_DUP_1.3MBx2,2.17139,50298.1,99.9196,true
77,HASH256_DROP_DUP_512KBx2,2.17131,50296.3,99.9647,true
78,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_64KBx2,2.17123,50294.5,99.9999,true
79,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_512KBx2,2.17122,50294.1,99.9686,true
80,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,2.17102,50289.6,99.9031,true
81,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,2.17101,50289.4,99.9031,true
82,HASH256_DROP_DUP_2.6MBx2,2.17093,50287.5,99.7433,true
83,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_128KBx2,2.17083,50285.1,99.985,true
84,HASH256_DROP_DUP_1.3MBx2,2.17065,50281.1,99.9196,true
85,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,2.17061,50280,99.9031,true
86,HASH160_DROP_DUP_1.3MBx2,2.17049,50277.3,99.9196,true
87,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_256KBx2,2.17042,50275.7,99.9686,true
88,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_256KBx2,2.17036,50274.2,99.9686,true
89,SHA256_DROP_DUP_2.6MBx2,2.17033,50273.5,99.7433,true
90,HASH160_DROP_DUP_2.6MBx2,2.1701,50268.3,99.7433,true
91,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_256KBx2,2.17009,50268.1,99.9686,true
92,HASH256_DROP_DUP_1MBx2,2.17001,50266.3,99.8952,true
93,HASH160_DROP_DUP_1MBx2,2.16955,50255.5,99.8952,true
94,SHA256_DROP_DUP_32KBx2,2.16913,50245.7,99.9994,true
95,HASH256_DROP_DUP_128KBx2,2.16482,50146,99.9994,true
96,HASH256_DROP_DUP_64KBx2,2.16478,50145.1,99.9994,true
97,HASH160_DROP_DUP_128KBx2,2.16381,50122.4,99.9994,true
98,HASH160_DROP_DUP_64KBx2,2.16352,50115.7,99.9994,true
99,SHA256_DROP_DUP_128KBx2,2.16265,50095.8,99.9994,true
100,SHA256_DROP_DUP_64KBx2,2.16243,50090.5,99.9994,true
101,2DUP_DIV_DROP_128B_divisor_1B,2.16223,50085.9,45.39,true
102,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_256Bx2,2.13229,49392.3,58.1486,false
103,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,2.10255,48703.6,6.68572,false
104,2DUP_MOD_DROP_128B_divisor_1B,2.1001,48646.7,45.39,true
105,2DUP_MOD_DROP_520B_divisor_130B,2.03883,47227.6,99.9999,true
106,2DUP_DIV_DROP_520B_divisor_130B,2.0296,47013.8,99.9999,true
107,RIPEMD160_DROP_DUP_520Bx2,2.0098,46555.1,5.2,false
108,2DUP_MUL_DROP_1KB_1B,1.99375,46183.3,99.9999,true
109,2DUP_DIV_DROP_100B_divisor_1B,1.9277,44653.2,29.2433,true
110,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,1.89437,43881.2,45.4286,false
111,2DUP_MUL_DROP_2KB_1B,1.85556,42982.3,99.9999,true
112,2DUP_MOD_DROP_100B_divisor_1B,1.8554,42978.5,29.2433,true
113,2DUP_DIV_DROP_100B_divisor_6B,1.8382,42580.1,29.36,true
114,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_256Bx2,1.83525,42511.7,58.1486,false
115,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,1.82458,42264.5,45.4286,false
116,2DUP_DIV_DROP_100B_divisor_25B,1.82042,42168.3,29.8033,true
117,2DUP_MOD_DROP_100B_divisor_6B,1.77561,41130.2,29.36,true
118,2DUP_DIV_DROP_256B_divisor_16B,1.77144,41033.8,99.9999,true
119,2DUP_MOD_DROP_100B_divisor_25B,1.76605,40908.9,29.8033,true
120,2DUP_MOD_DROP_256B_divisor_16B,1.73001,40073.9,99.9999,true
121,HASH256_DROP_DUP_256Bx2,1.72721,40009.2,45.2267,false
122,2DUP_MUL_DROP_4KB_1B,1.70978,39605.4,99.9997,true
123,HASH160_DROP_DUP_256Bx2,1.67508,38801.6,45.2267,false
124,2DUP_DIV_DROP_128B_divisor_32B,1.6657,38584.4,46.1133,true
125,2DUP_MUL_DROP_8KB_1B,1.65079,38238.9,99.9996,true
126,2DUP_MOD_DROP_1KB_divisor_256B,1.63783,37938.7,99.9998,true
127,SHA1_DROP_DUP_520Bx2,1.63132,37787.8,5.2,false
128,2DUP_MUL_DROP_16KB_1B,1.62159,37562.5,99.9999,true
129,2DUP_MUL_DROP_1.3MB_1B,1.61857,37492.6,99.9695,true
130,2DUP_DIV_DROP_1KB_divisor_256B,1.61769,37472.2,99.9998,true
131,2DUP_MUL_DROP_1MB_1B,1.61601,37433.2,99.9241,true
132,2DUP_MUL_DROP_2MB_1B,1.61354,37376.1,99.99,true
133,2DUP_MUL_DROP_512KB_1B,1.61211,37343.1,99.9634,true
134,2DUP_MOD_DROP_128B_divisor_32B,1.60728,37231,46.1133,true
135,2DUP_MUL_DROP_256KB_1B,1.60547,37189,99.9831,true
136,2DUP_MUL_DROP_128KB_1B,1.60075,37079.8,99.993,true
137,2DUP_MUL_DROP_32KB_1B,1.59819,37020.4,99.9981,true
138,2DUP_MUL_DROP_64KB_1B,1.58902,36808,99.9981,true
139,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_128Bx2,1.57375,36454.5,29.0743,false
140,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_200Bx32k,1.52396,35301.1,45.4286,false
141,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_256Bx2,1.51181,35019.6,3.29143,false
142,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_128Bx2,1.50475,34856.2,29.0743,false
143,2DUP_DIV_DROP_128B_divisor_8B,1.50037,34754.5,45.5533,true
144,HASH256_DROP_DUP_200Bx32k,1.48932,34498.6,35.3333,false
