# CPU: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
# Architecture: x86_64
# Compiler: Clang 20.1.8
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (5.52408 sec) vs Schnorr (3.12103 sec):
# Suggested budget: 2937.93 varops per weight unit (current: 5200)
# Formula: 5200 / 5.52408 * 3.12103 = 2937.93
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,5.67601,145491,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,5.61228,143857,90.6594,true
3,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,5.52408,141596,99.9997,true
4,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,5.51262,141303,99.9997,true
5,HASH256_DROP_DUP_10KBx2,5.49756,140917,100,true
6,HASH160_DROP_DUP_10KBx2,5.49065,140739,100,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,5.47892,140439,99.9997,true
8,SHA256_DROP_DUP_2MBx2,5.45851,139916,99.9519,true
9,SHA256_DROP_DUP_10KBx2,5.45829,139910,100,true
10,HASH160_DROP_DUP_2MBx2,5.44383,139539,99.9519,true
11,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,5.44044,139452,99.9663,true
12,HASH256_DROP_DUP_2MBx2,5.44005,139442,99.9519,true
13,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,5.43976,139435,99.9995,true
14,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,5.43946,139427,99.9995,true
15,SHA256_DROP_DUP_1MBx2,5.43937,139425,100,true
16,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,5.43873,139409,99.9663,true
17,HASH160_DROP_DUP_1MBx2,5.4386,139405,100,true
18,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,5.43751,139377,99.9663,true
19,HASH256_DROP_DUP_1MBx2,5.43702,139365,100,true
20,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,5.43525,139319,99.9995,true
21,HASH256_DROP_DUP_100KBx2,5.4219,138977,99.9995,true
22,HASH160_DROP_DUP_100KBx2,5.42103,138955,99.9995,true
