# CPU: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
# Architecture: x86_64
# Compiler: Clang 22.0.0
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (5.52217 sec) vs Schnorr (3.11784 sec):
# Suggested budget: 2935.94 varops per weight unit (current: 5200)
# Formula: 5200 / 5.52217 * 3.11784 = 2935.94
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,5.67273,145556,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,5.60672,143862,90.6594,true
3,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,5.52217,141692,99.9997,true
4,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,5.51139,141416,99.9997,true
5,HASH256_DROP_DUP_10KBx2,5.49852,141086,100,true
6,HASH160_DROP_DUP_10KBx2,5.48816,140820,100,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,5.47885,140581,99.9997,true
8,SHA256_DROP_DUP_10KBx2,5.45651,140008,100,true
9,SHA256_DROP_DUP_1MBx2,5.44886,139811,100,true
10,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,5.44717,139768,99.9995,true
11,HASH256_DROP_DUP_1MBx2,5.44366,139678,100,true
12,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,5.44358,139676,99.9995,true
13,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,5.44236,139645,99.9995,true
14,HASH160_DROP_DUP_2MBx2,5.44221,139641,99.9519,true
15,HASH256_DROP_DUP_2MBx2,5.44199,139635,99.9519,true
16,HASH160_DROP_DUP_1MBx2,5.44163,139626,100,true
17,SHA256_DROP_DUP_2MBx2,5.44136,139619,99.9519,true
18,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,5.44115,139614,99.9663,true
19,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,5.43894,139557,99.9663,true
20,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,5.43718,139512,99.9663,true
21,HASH256_DROP_DUP_100KBx2,5.4315,139366,99.9995,true
22,HASH160_DROP_DUP_100KBx2,5.42798,139276,99.9995,true
23,SHA256_DROP_DUP_100KBx2,5.42369,139166,99.9995,true
24,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,5.31741,136438,90.6594,true
25,HASH256_DROP_DUP_1KBx2,4.42609,113568,70.5129,true
26,HASH160_DROP_DUP_1KBx2,4.37391,112229,70.5129,true
27,SHA256_DROP_DUP_1KBx2,4.15023,106490,70.5129,true
28,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,3.48655,89460.9,47.1429,false
29,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,3.42058,87768.2,47.1429,false
30,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,3.13047,80324.2,47.1429,false
31,Schnorr signature validation,3.11784,80000,0,false
32,HASH256_DROP_DUP_520Bx2,2.72503,69921,36.6667,false
33,HASH160_DROP_DUP_520Bx2,2.67333,68594.6,36.6667,false
34,SHA256_DROP_DUP_520Bx2,2.44701,62787.4,36.6667,false
35,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.43754,62544.4,4.28572,false
36,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.93136,49556.4,4.28572,false
37,RIPEMD160_DROP_DUP_520Bx2,1.90498,48879.5,3.33333,false
38,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,1.84011,47215,18.1319,false
39,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,1.77162,45457.6,18.1319,false
40,DUP_MUL_DROP_DUP_200Bx32k,1.64793,42283.9,99.9999,true
41,DUP_MUL_DROP_DUP_1KBx2,1.56753,40221,99.9993,true
42,SHA1_DROP_DUP_520Bx2,1.5148,38868,3.33333,false
43,DUP_MUL_DROP_DUP_520Bx2,1.50683,38663.5,99.9992,true
44,DUP_MUL_DROP_DUP_10KBx2,1.49576,38379.3,99.9331,true
45,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_200Bx32k,1.47928,37956.6,18.1319,false
46,HASH256_DROP_DUP_200Bx32k,1.44381,37046.4,14.1026,false
47,DUP_ADD_DROP_DUP_1MBx2,1.40218,35978.4,99.9856,true
48,HASH160_DROP_DUP_200Bx32k,1.38947,35652.1,14.1026,false
49,DUP_ADD_DROP_DUP_2MBx2,1.38847,35626.5,99.9904,true
50,2DUP_RSHIFT_DROP_1MBx2_shift_1bit,1.37058,35167.6,99.9953,true
51,2DUP_RSHIFT_DROP_2MBx2_shift_1bit,1.36424,35004.8,99.9904,true
52,2DUP_RSHIFT_DROP_10KBx2_shift_1bit,1.35452,34755.3,100,true
53,DUP_ADD_DROP_DUP_100KBx2,1.30817,33566,99.9986,true
54,2DUP_RSHIFT_DROP_100KBx2_shift_1bit,1.29502,33228.8,99.9992,true
55,DUP_MIN_DROP_DUP_2MBx2,1.28288,32917.2,100,true
56,DUP_MAX_DROP_DUP_1MBx2,1.28065,32860,100,true
57,DUP_MAX_DROP_DUP_2MBx2,1.27834,32800.7,100,true
58,ROLL_DUP_MAX_STACK_SIZE,1.27818,32796.7,99.9984,true
59,DUP_MIN_DROP_DUP_1MBx2,1.27683,32762.1,100,true
60,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.26033,32338.7,100,true
61,2DUP_LSHIFT_DROP_1MBx2_shift_1bit,1.25983,32325.6,99.9856,true
62,DUP_ADD_DROP_DUP_10KBx2,1.25897,32303.6,99.9999,true
63,2DUP_LSHIFT_DROP_2MBx2_shift_1bit,1.25712,32256.1,99.9712,true
64,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.24916,32052.1,100,true
65,2DUP_LSHIFT_DROP_10KBx2_shift_1bit,1.22058,31318.5,100,true
66,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100Bx2,1.21249,31111.1,9.06594,false
67,DUP_MAX_DROP_DUP_100KBx2,1.20117,30820.6,100,true
68,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,1.19816,30743.3,1.64835,false
69,DUP_MIN_DROP_DUP_10KBx2,1.19207,30587.2,100,true
70,DUP_MIN_DROP_DUP_100KBx2,1.19075,30553.2,100,true
71,2DUP_LSHIFT_DROP_100KBx2_shift_1bit,1.18948,30520.7,99.9991,true
72,DUP_MAX_DROP_DUP_10KBx2,1.173,30097.9,100,true
73,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,1.17272,30090.7,100,true
74,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,1.16786,29966,100,true
75,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,1.16736,29953,100,true
76,DUP_LESSTHAN_DROP_DUP_2MBx2,1.16679,29938.6,100,true
77,SHA256_DROP_DUP_200Bx32k,1.16354,29855,14.1026,false
78,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,1.16166,29806.9,100,true
79,DUP_LESSTHAN_DROP_DUP_1MBx2,1.16136,29799.1,100,true
80,DUP_DUP_WITHIN_DROP_DUP_100KBx2,1.1442,29358.9,100,true
81,DUP_NUMEQUAL_DROP_DUP_1MBx2,1.14314,29331.5,100,true
82,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100Bx2,1.14004,29252.1,9.06594,false
83,DUP_NUMEQUALVERIFY_DUP_1MBx2,1.13662,29164.5,100,true
84,DUP_NUMEQUAL_DROP_DUP_2MBx2,1.13506,29124.3,100,true
85,DUP_NUMEQUALVERIFY_DUP_2MBx2,1.13477,29116.9,100,true
86,DUP_GREATERTHAN_DROP_DUP_2MBx2,1.13395,29095.8,100,true
87,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,1.13355,29085.6,100,true
88,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,1.13122,29025.8,100,true
89,DUP_GREATERTHAN_DROP_DUP_1MBx2,1.1289,28966.3,100,true
90,DUP_DUP_WITHIN_DROP_DUP_10KBx2,1.08345,27800.1,100,true
91,DUP_MUL_DROP_DUP_100KBx2,1.08113,27740.5,72.1197,true
92,DUP_NUMEQUAL_DROP_DUP_100KBx2,1.02733,26360.1,100,true
93,DUP_GREATERTHAN_DROP_DUP_100KBx2,1.01619,26074.3,100,true
94,DUP_LESSTHAN_DROP_DUP_100KBx2,1.01259,25982,100,true
95,DUP_LESSTHANOREQUAL_DROP_DUP_100KBx2,1.01222,25972.5,100,true
96,DUP_GREATERTHANOREQUAL_DROP_DUP_100KBx2,1.00681,25833.5,100,true
97,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,1.00645,25824.4,100,true
98,DUP_NUMEQUALVERIFY_DUP_100KBx2,1.00191,25707.9,100,true
99,DUP_NUMEQUALVERIFY_DUP_10KBx2,0.998079,25609.5,100,true
100,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_200Bx32k,0.977227,25074.5,1.64835,false
101,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,0.970356,24898.2,100,true
102,DUP_NUMEQUAL_DROP_DUP_10KBx2,0.969245,24869.7,100,true
103,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,0.96336,24718.7,100,true
104,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,0.956077,24531.8,100,true
105,HASH256_DROP_DUP_100Bx2,0.955153,24508.1,7.05129,false
106,DUP_GREATERTHAN_DROP_DUP_10KBx2,0.954077,24480.5,100,true
107,DUP_LESSTHAN_DROP_DUP_10KBx2,0.950961,24400.5,100,true
108,RIPEMD160_DROP_DUP_200Bx32k,0.943474,24208.4,1.28205,false
109,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_100KBx2,0.939235,24099.7,99.9995,true
110,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1MBx2,0.924582,23723.7,99.9856,true
111,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_10KBx2,0.918665,23571.9,100,true
112,HASH160_DROP_DUP_100Bx2,0.900873,23115.3,7.05129,false
113,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1Bx2,0.899654,23084.1,0.0906594,false
114,1ADD_DROP_DUP_1MBx2,0.895097,22967.1,100,true
115,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10Bx2,0.893628,22929.5,0.906594,false
116,1ADD_DROP_DUP_2MBx2,0.893284,22920.6,100,true
117,DUP_MUL_DROP_DUP_100Bx2,0.88595,22732.4,39.4231,true
118,2DUP_LSHIFT_DROP_2MBx2_shift_8bits,0.88577,22727.8,99.9905,true
119,2DUP_LSHIFT_DROP_2MBx2_shift_64bits,0.880239,22585.9,99.9906,true
120,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_100KBx2,0.879376,22563.8,99.9986,true
121,2DIV_DROP_DUP_100KBx2,0.866043,22221.6,99.9995,true
122,2DUP_LSHIFT_DROP_1MBx2_shift_8bits,0.854648,21929.3,99.9953,true
123,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_10KBx2,0.852816,21882.3,99.9999,true
