# CPU: RPi 5
# Architecture: ARM64
# Compiler: Clang 22.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (4.07327 sec) vs Schnorr (12.4248 sec):
# Suggested budget: 15861.6 varops per weight unit (current: 5200)
# Formula: 5200 / 4.07327 * 12.4248 = 15861.6
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,12.4248,80000,0,false
2,DUP_DUP_WITHIN_DROP_DUP_2MBx2,4.07327,26226.8,100,true
3,DUP_NUMEQUALVERIFY_DUP_2MBx2,3.47368,22366.2,100,true
4,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,3.46432,22305.9,100,true
5,DUP_NUMEQUAL_DROP_DUP_2MBx2,3.44515,22182.5,100,true
6,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,3.39774,21877.2,100,true
7,DUP_GREATERTHAN_DROP_DUP_2MBx2,3.39236,21842.6,100,true
8,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,3.38573,21799.9,100,true
9,DUP_LESSTHAN_DROP_DUP_2MBx2,3.38346,21785.3,100,true
10,2DUP_2DROP_2MBx2,3.33277,21458.9,100,true
11,2DUP_DROP_DROP_2MBx2,3.32543,21411.6,100,true
12,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,3.29363,21206.9,4.28572,false
13,DUP_DUP_WITHIN_DROP_DUP_1MBx2,3.09551,19931.3,100,true
14,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_1MBx2,3.01141,19389.8,99.9952,true
15,DUP_CAT_DROP_DUP_2MBx2,3.01002,19380.8,100,true
16,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_1MBx2,2.96594,19097,99.9952,true
17,TUCK_DROP_2MBx2,2.92657,18843.5,100,true
18,ROLL_DUP_MAX_STACK_SIZE,2.78523,17933.4,99.9984,true
19,DUP_DUP_WITHIN_DROP_DUP_10KBx2,2.73213,17591.5,100,true
20,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,2.64483,17029.4,100,true
21,DUP_GREATERTHAN_DROP_DUP_1MBx2,2.64346,17020.6,100,true
22,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,2.64345,17020.6,100,true
23,DUP_LESSTHAN_DROP_DUP_1MBx2,2.64206,17011.6,100,true
24,DUP_EQUALVERIFY_DUP_2MBx2,2.62548,16904.8,100,true
25,DUP_EQUAL_DROP_DUP_2MBx2,2.62279,16887.5,100,true
26,DUP_DUP_WITHIN_DROP_DUP_100KBx2,2.6145,16834.1,100,true
27,DUP_NUMEQUAL_DROP_DUP_1MBx2,2.61024,16806.7,100,true
28,DUP_NUMEQUALVERIFY_DUP_1MBx2,2.6084,16794.9,100,true
29,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,2.60805,16792.6,100,true
30,RIPEMD160_DROP_DUP_520Bx2,2.58142,16621.1,3.33333,false
