# CPU: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz (HDD)
# Architecture: x86_64
# Compiler: GCC 15.0.1
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (5.52637 sec) vs Schnorr (3.36173 sec):
# Suggested budget: 3163.2 varops per weight unit (current: 5200)
# Formula: 5200 / 5.52637 * 3.36173 = 3163.2
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,5.7073,135818,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,5.63694,134144,90.6594,true
3,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,5.52637,131513,99.9997,true
4,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,5.51374,131212,99.9997,true
5,HASH256_DROP_DUP_10KBx2,5.50108,130911,100,true
6,HASH160_DROP_DUP_10KBx2,5.49397,130741,100,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,5.48244,130467,99.9997,true
8,SHA256_DROP_DUP_10KBx2,5.46192,129979,100,true
9,SHA256_DROP_DUP_2MBx2,5.45729,129869,99.9519,true
10,HASH160_DROP_DUP_2MBx2,5.4406,129471,99.9519,true
11,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,5.43992,129455,99.9995,true
12,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,5.43979,129452,99.9663,true
13,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,5.43978,129452,99.9995,true
14,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,5.43967,129449,99.9663,true
15,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,5.43795,129408,99.9663,true
16,HASH256_DROP_DUP_1MBx2,5.43683,129382,100,true
17,HASH256_DROP_DUP_2MBx2,5.43655,129375,99.9519,true
18,HASH160_DROP_DUP_1MBx2,5.43557,129352,100,true
19,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,5.43545,129349,99.9995,true
20,SHA256_DROP_DUP_1MBx2,5.43422,129320,100,true
21,HASH256_DROP_DUP_100KBx2,5.42184,129025,99.9995,true
22,HASH160_DROP_DUP_100KBx2,5.42136,129014,99.9995,true
23,SHA256_DROP_DUP_100KBx2,5.42126,129011,99.9995,true
24,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,5.33821,127035,90.6594,true
25,HASH256_DROP_DUP_1KBx2,4.45257,105959,70.5129,true
26,HASH160_DROP_DUP_1KBx2,4.39738,104646,70.5129,true
27,SHA256_DROP_DUP_1KBx2,4.16734,99171.3,70.5129,true
28,2DUP_LSHIFT_DROP_10KBx2_shift_8bits,4.09157,97368.1,100,true
29,2DUP_LSHIFT_DROP_2MBx2_shift_10Kbits,4.03241,95960.2,99.9936,true
30,2DUP_LSHIFT_DROP_2MBx2_shift_100Kbits,4.0224,95722.1,99.9922,true
31,2DUP_LSHIFT_DROP_2MBx2_shift_1Kbits,4.02134,95696.8,99.9937,true
32,2DUP_LSHIFT_DROP_2MBx2_shift_8bits,4.0198,95660.3,99.9905,true
33,2DUP_LSHIFT_DROP_2MBx2_shift_64bits,4.01702,95594.1,99.9906,true
34,2DUP_LSHIFT_DROP_1MBx2_shift_64bits,4.01438,95531.2,99.9957,true
35,2DUP_LSHIFT_DROP_1MBx2_shift_100Kbits,4.00665,95347.2,99.9968,true
