# CPU: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
# Architecture: x86_64
# Compiler: GCC 15.0.1
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (5.52354 sec) vs Schnorr (3.36281 sec):
# Suggested budget: 3165.83 varops per weight unit (current: 5200)
# Formula: 5200 / 5.52354 * 3.36281 = 3165.83
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,5.7037,135689,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,5.63375,134025,90.6594,true
3,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,5.52354,131403,99.9997,true
4,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,5.51786,131268,99.9997,true
5,HASH256_DROP_DUP_10KBx2,5.50404,130939,100,true
6,HASH160_DROP_DUP_10KBx2,5.49525,130730,100,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,5.4817,130408,99.9997,true
8,SHA256_DROP_DUP_10KBx2,5.46482,130006,100,true
9,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,5.44684,129578,99.9995,true
10,SHA256_DROP_DUP_1MBx2,5.44644,129569,100,true
11,SHA256_DROP_DUP_2MBx2,5.44423,129516,99.9519,true
12,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,5.44413,129514,99.9995,true
13,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,5.44261,129478,99.9995,true
14,HASH160_DROP_DUP_1MBx2,5.44146,129450,100,true
15,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,5.44122,129445,99.9663,true
16,HASH256_DROP_DUP_1MBx2,5.44063,129431,100,true
17,HASH256_DROP_DUP_2MBx2,5.43978,129410,99.9519,true
18,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,5.43847,129379,99.9663,true
19,HASH160_DROP_DUP_2MBx2,5.43811,129371,99.9519,true
20,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,5.43654,129333,99.9663,true
21,HASH160_DROP_DUP_100KBx2,5.43164,129217,99.9995,true
22,HASH256_DROP_DUP_100KBx2,5.43108,129203,99.9995,true
23,SHA256_DROP_DUP_100KBx2,5.42314,129015,99.9995,true
24,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,5.33844,127000,90.6594,true
25,HASH256_DROP_DUP_1KBx2,4.45572,106000,70.5129,true
26,HASH160_DROP_DUP_1KBx2,4.39676,104597,70.5129,true
27,SHA256_DROP_DUP_1KBx2,4.16789,99152.7,70.5129,true
28,2DUP_LSHIFT_DROP_10KBx2_shift_8bits,4.09615,97445.9,100,true
29,2DUP_LSHIFT_DROP_2MBx2_shift_10Kbits,4.05468,96459.4,99.9936,true
30,2DUP_LSHIFT_DROP_2MBx2_shift_100Kbits,4.04828,96307,99.9922,true
31,2DUP_LSHIFT_DROP_2MBx2_shift_1Kbits,4.04375,96199.3,99.9937,true
32,2DUP_LSHIFT_DROP_1MBx2_shift_8bits,4.04248,96169.1,99.9953,true
33,2DUP_LSHIFT_DROP_1MBx2_shift_100Kbits,4.03822,96067.7,99.9968,true
34,2DUP_LSHIFT_DROP_2MBx2_shift_8bits,4.02746,95811.9,99.9905,true
35,2DUP_LSHIFT_DROP_1MBx2_shift_10Kbits,4.02715,95804.5,99.9968,true
36,2DUP_LSHIFT_DROP_2MBx2_shift_64bits,4.02507,95754.8,99.9906,true
37,2DUP_LSHIFT_DROP_1MBx2_shift_1Kbits,3.99408,95017.7,99.997,true
38,2DUP_LSHIFT_DROP_1MBx2_shift_64bits,3.98857,94886.7,99.9957,true
39,2DUP_LSHIFT_DROP_100KBx2_shift_8bits,3.97584,94583.8,99.9996,true
40,2DUP_LSHIFT_DROP_100KBx2_shift_64bits,3.97074,94462.4,99.9997,true
41,2DUP_LSHIFT_DROP_100KBx2_shift_1Kbits,3.97042,94454.7,99.9996,true
42,2DUP_LSHIFT_DROP_100KBx2_shift_10Kbits,3.96671,94366.6,99.9999,true
43,2DUP_LSHIFT_DROP_2MBx2_shift_1Mbits,3.95807,94160.9,99.9999,true
44,2DUP_LSHIFT_DROP_10KBx2_shift_1Kbits,3.92853,93458.2,100,true
45,2DUP_LSHIFT_DROP_10KBx2_shift_64bits,3.91117,93045.4,100,true
46,2DUP_LSHIFT_DROP_1MBx2_shift_1Mbits,3.86592,91968.9,99.9967,true
47,2DUP_LSHIFT_DROP_10KBx2_shift_10Kbits,3.80655,90556.5,100,true
48,2DUP_LSHIFT_DROP_100KBx2_shift_100Kbits,3.78477,90038.4,99.9999,true
49,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,3.51917,83719.7,47.1429,false
50,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,3.44915,82053.9,47.1429,false
51,Schnorr signature validation,3.36281,80000,0,false
52,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,3.15276,75003,47.1429,false
53,2DUP_LSHIFT_DROP_1MBx2_shift_1bit,2.81437,66952.9,99.9856,true
54,2DUP_LSHIFT_DROP_2MBx2_shift_1bit,2.8091,66827.6,99.9712,true
55,2DUP_LSHIFT_DROP_100KBx2_shift_1bit,2.77423,65997.8,99.9991,true
56,HASH256_DROP_DUP_520Bx2,2.75089,65442.6,36.6667,false
57,2DUP_LSHIFT_DROP_10KBx2_shift_1bit,2.73168,64985.7,100,true
58,HASH160_DROP_DUP_520Bx2,2.6966,64151.2,36.6667,false
59,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.47184,58804.1,4.28572,false
60,SHA256_DROP_DUP_520Bx2,2.46654,58678.1,36.6667,false
61,DUP_CAT_DROP_DUP_1MBx2,2.40776,57279.8,100,true
62,DUP_CAT_DROP_DUP_2MBx2,2.39328,56935.2,100,true
63,DUP_CAT_DROP_DUP_100KBx2,2.35969,56136.2,100,true
64,DUP_CAT_DROP_DUP_10KBx2,2.30849,54918.1,100,true
65,RIPEMD160_DROP_DUP_520Bx2,2.00371,47667.4,3.33333,false
66,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.94197,46198.9,4.28572,false
67,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,1.8691,44465.2,18.1319,false
68,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,1.80025,42827.3,18.1319,false
69,DUP_MUL_DROP_DUP_200Bx32k,1.55794,37062.9,99.9999,true
70,DUP_MUL_DROP_DUP_1KBx2,1.55133,36905.6,99.9993,true
71,DUP_MUL_DROP_DUP_10KBx2,1.52516,36283,99.9331,true
72,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_200Bx32k,1.50211,35734.6,18.1319,false
73,SHA1_DROP_DUP_520Bx2,1.50099,35708,3.33333,false
74,DUP_MUL_DROP_DUP_520Bx2,1.49483,35561.4,99.9992,true
75,HASH256_DROP_DUP_200Bx32k,1.46721,34904.5,14.1026,false
76,HASH160_DROP_DUP_200Bx32k,1.41408,33640.5,14.1026,false
77,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.34643,32031.1,100,true
78,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.33554,31772,100,true
