# CPU: RPi 5
# Architecture: ARM64
# Compiler: GCC 14.2.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (4.02096 sec) vs Schnorr (12.583 sec):
# Suggested budget: 16272.6 varops per weight unit (current: 5200)
# Formula: 5200 / 4.02096 * 12.583 = 16272.6
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,12.583,80000,0,false
2,DUP_DUP_WITHIN_DROP_DUP_2MBx2,4.02096,25564.4,100,true
3,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,3.83033,24352.5,4.28572,false
4,DUP_NUMEQUALVERIFY_DUP_2MBx2,3.43809,21858.7,100,true
5,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,3.43599,21845.3,100,true
6,DUP_LESSTHAN_DROP_DUP_2MBx2,3.40211,21629.9,100,true
7,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,3.399,21610.1,100,true
8,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,3.39198,21565.5,100,true
9,DUP_GREATERTHAN_DROP_DUP_2MBx2,3.3831,21509,100,true
10,2DUP_2DROP_2MBx2,3.36511,21394.7,100,true
11,2DUP_DROP_DROP_2MBx2,3.36362,21385.2,100,true
12,DUP_NUMEQUAL_DROP_DUP_2MBx2,3.36049,21365.3,100,true
13,DUP_DUP_WITHIN_DROP_DUP_1MBx2,3.11333,19793.9,100,true
14,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_1MBx2,3.01684,19180.5,99.9952,true
15,DUP_CAT_DROP_DUP_2MBx2,3.01457,19166,100,true
16,RIPEMD160_DROP_DUP_520Bx2,3.00366,19096.6,3.33333,false
17,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_1MBx2,2.99602,19048.1,99.9952,true
18,TUCK_DROP_2MBx2,2.93269,18645.4,100,true
19,ROLL_DUP_MAX_STACK_SIZE,2.83683,18036,99.9984,true
20,DUP_DUP_WITHIN_DROP_DUP_10KBx2,2.77498,17642.8,100,true
21,DUP_LESSTHAN_DROP_DUP_1MBx2,2.67357,16998,100,true
22,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,2.6707,16979.8,100,true
23,DUP_GREATERTHAN_DROP_DUP_1MBx2,2.66781,16961.4,100,true
24,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,2.66766,16960.5,100,true
25,DUP_DUP_WITHIN_DROP_DUP_100KBx2,2.62224,16671.6,100,true
26,DUP_NUMEQUAL_DROP_DUP_1MBx2,2.6191,16651.7,100,true
27,DUP_NUMEQUALVERIFY_DUP_1MBx2,2.61784,16643.7,100,true
28,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,2.61445,16622.1,100,true
29,DUP_EQUALVERIFY_DUP_2MBx2,2.58312,16423,100,true
30,DUP_EQUAL_DROP_DUP_2MBx2,2.57838,16392.8,100,true
31,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,2.57706,16384.4,4.28572,false
32,DUP_MIN_DROP_DUP_2MBx2,2.55558,16247.9,100,true
33,DUP_MAX_DROP_DUP_2MBx2,2.55015,16213.4,100,true
34,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,2.52179,16033,100,true
35,DUP_NUMEQUAL_DROP_DUP_10KBx2,2.51917,16016.3,100,true
36,DUP_GREATERTHAN_DROP_DUP_10KBx2,2.51273,15975.4,100,true
37,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,2.51226,15972.4,100,true
38,DUP_LESSTHAN_DROP_DUP_10KBx2,2.50646,15935.5,100,true
39,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,2.49499,15862.6,100,true
40,DUP_NUMEQUALVERIFY_DUP_10KBx2,2.4807,15771.8,100,true
41,2DUP_2DROP_1MBx2,2.44864,15567.9,100,true
42,2DUP_DROP_DROP_1MBx2,2.3596,15001.8,100,true
43,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,2.35395,14965.9,90.6594,true
44,3DUP_SUBSTR_DROP_2MBx2_start0_len100B,2.35194,14953.1,99.9955,true
45,3DUP_SUBSTR_DROP_2MBx2_start500B_len1KB,2.3502,14942.1,99.9927,true
46,2DUP_LEFT_DROP_2MBx2_offset_100KB,2.34956,14938,99.9907,true
47,2DUP_LEFT_DROP_2MBx2_offset_100B,2.34646,14918.3,99.9905,true
48,DUP_MUL_DROP_DUP_200Bx32k,2.34444,14905.5,99.9999,true
49,2DUP_LEFT_DROP_2MBx2_offset_1MB,2.34362,14900.3,99.9907,true
50,3DUP_SUBSTR_DROP_2MBx2_start0_len1KB,2.33975,14875.6,99.9925,true
51,3DUP_SUBSTR_DROP_2MBx2_start5B_len10B,2.33763,14862.2,99.9911,true
52,2DUP_LSHIFT_DROP_2MBx2_shift_1bit,2.33762,14862.1,99.9712,true
53,2DUP_RIGHT_DROP_2MBx2_offset_1KB,2.33744,14860.9,99.9925,true
54,2OVER_DROP_DROP_1MBx2,2.33521,14846.8,100,true
55,2DUP_RIGHT_DROP_2MBx2_offset_10B,2.33429,14840.9,99.991,true
56,NEGATE_DROP_DUP_2MBx2,2.33296,14832.5,100,true
57,DUP_DROP_2MBx2,2.33239,14828.9,100,true
