# CPU: Intel(R) N150 (Umbrel)
# Architecture: x86_64
# Compiler: GCC 12.2.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.96163 sec) vs Schnorr (6.52591 sec):
# Suggested budget: 11458.1 varops per weight unit (current: 5200)
# Formula: 5200 / 2.96163 * 6.52591 = 11458.1
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,6.52591,80000,0,false
2,DUP_ADD_DROP_DUP_2MBx2,2.96163,36306.1,99.9904,true
3,1SUB_DROP_DUP_2MBx2,2.70434,33152.1,100,true
4,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_1MBx2,2.58779,31723.3,99.9952,true
5,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.38047,29181.8,4.28572,false
6,DUP_CAT_DROP_DUP_2MBx2,2.02716,24850.6,100,true
7,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.96113,24041.2,100,true
8,2DUP_DROP_DROP_2MBx2,1.91697,23499.8,100,true
9,2DUP_2DROP_2MBx2,1.90806,23390.6,100,true
10,RIPEMD160_DROP_DUP_520Bx2,1.86394,22849.7,3.33333,false
11,DUP_MUL_DROP_DUP_200Bx32k,1.86352,22844.5,99.9999,true
12,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.84141,22573.6,4.28572,false
13,DUP_MUL_DROP_DUP_520Bx2,1.798,22041.3,99.9992,true
14,DUP_ADD_DROP_DUP_1MBx2,1.68437,20648.4,99.9856,true
15,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,1.6323,20010.1,100,true
16,DUP_LESSTHAN_DROP_DUP_2MBx2,1.63186,20004.7,100,true
17,DUP_GREATERTHAN_DROP_DUP_2MBx2,1.63053,19988.3,100,true
18,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,1.6187,19843.4,100,true
19,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,1.61665,19818.2,100,true
20,DUP_NUMEQUALVERIFY_DUP_2MBx2,1.61501,19798.2,100,true
21,DUP_NUMEQUAL_DROP_DUP_2MBx2,1.61146,19754.6,100,true
22,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.56701,19209.7,100,true
23,2DUP_RSHIFT_DROP_2MBx2_shift_1bit,1.55404,19050.7,99.9904,true
24,2DUP_LSHIFT_DROP_2MBx2_shift_1bit,1.53111,18769.6,99.9712,true
25,TUCK_DROP_1MBx2,1.51225,18538.4,100,true
26,SHA1_DROP_DUP_520Bx2,1.44596,17725.8,3.33333,false
27,2DUP_LSHIFT_DROP_2MBx2_shift_64bits,1.41317,17323.8,99.9906,true
28,2DUP_LSHIFT_DROP_2MBx2_shift_1Mbits,1.41251,17315.8,99.9999,true
29,DUP_SUB_DROP_DUP_2MBx2,1.4114,17302.1,100,true
30,2DUP_LSHIFT_DROP_2MBx2_shift_10Kbits,1.39508,17102.1,99.9936,true
31,TUCK_DROP_2MBx2,1.37433,16847.6,100,true
32,2DUP_LSHIFT_DROP_2MBx2_shift_1Kbits,1.35325,16589.3,99.9937,true
33,DUP_LESSTHAN_DROP_DUP_1MBx2,1.35161,16569.1,100,true
34,DUP_GREATERTHAN_DROP_DUP_1MBx2,1.35029,16553,100,true
35,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,1.34966,16545.2,100,true
36,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,1.3475,16518.7,100,true
37,2DUP_LSHIFT_DROP_2MBx2_shift_8bits,1.34484,16486.1,99.9905,true
38,DUP_MUL_DROP_DUP_100KBx2,1.31205,16084.2,72.1197,true
39,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_1MBx2,1.2969,15898.5,99.9952,true
40,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_1MBx2,1.29331,15854.5,99.9952,true
41,3DUP_SUBSTR_DROP_2MBx2_start0_len1MB,1.28811,15790.8,99.9954,true
42,DUP_NUMEQUAL_DROP_DUP_1MBx2,1.27811,15668.1,100,true
43,2DUP_LSHIFT_DROP_2MBx2_shift_100Kbits,1.27696,15654,99.9922,true
44,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,1.27675,15651.4,100,true
45,DUP_NUMEQUALVERIFY_DUP_1MBx2,1.2753,15633.7,100,true
46,DUP_OR_DROP_DUP_2MBx2,1.26715,15533.8,100,true
47,DUP_XOR_DROP_DUP_2MBx2,1.26377,15492.3,100,true
48,DUP_MAX_DROP_DUP_2MBx2,1.2577,15417.9,100,true
49,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,1.25381,15370.3,90.6594,true
50,DUP_AND_DROP_DUP_2MBx2,1.25306,15361.1,100,true
51,DUP_DUP_WITHIN_DROP_DUP_10KBx2,1.24584,15272.6,100,true
