# CPU: 12th Gen Intel(R) Core(TM) i5-12500
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.06728 sec) vs Schnorr (3.05511 sec):
# Suggested budget: 14778.4 varops per weight unit (current: 10000)
# Formula: 10000 / 2.06728 * 3.05511 = 14778.4
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  2.452 sec  (6.7% varops)
# Schnorr (80K sigs):       3.055 sec
# Schnorr realistic (~10K): 0.382 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  2.067 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.843
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.05511,80000,0,false
2,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.45198,64206.7,6.68572,false
3,2DUP_DIV_DROP_200B_divisor_50B,2.06728,54133.1,100,true
4,2DUP_MOD_DROP_200B_divisor_50B,2.0418,53465.9,100,true
5,RIPEMD160_DROP_DUP_520Bx2,1.90298,49830.7,5.2,false
6,2DUP_DIV_DROP_256B_divisor_64B,1.71621,44940.1,100,true
7,2DUP_MOD_DROP_256B_divisor_64B,1.69413,44361.9,100,true
8,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.68888,44224.5,6.68572,false
9,2DUP_DIV_DROP_200B_divisor_12B,1.67014,43733.6,100,true
10,2DUP_MOD_DROP_200B_divisor_12B,1.62331,42507.3,100,true
11,2DUP_DIV_DROP_200B_divisor_1B,1.60089,41920.3,100,true
12,2DUP_MOD_DROP_200B_divisor_1B,1.57726,41301.5,100,true
13,2DUP_DIV_DROP_520B_divisor_130B,1.45891,38202.5,99.9999,true
14,2DUP_MOD_DROP_520B_divisor_130B,1.45497,38099.4,99.9999,true
