# CPU: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (3.33098 sec) vs Schnorr (3.44897 sec):
# Suggested budget: 10354.2 varops per weight unit (current: 10000)
# Formula: 10000 / 3.33098 * 3.44897 = 10354.2
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2  3.003 sec  (100.0% varops)
# Schnorr (80K sigs):       3.449 sec
# Schnorr realistic (~10K): 0.431 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  3.331 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 1.109
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.44897,80000,0,false
2,2DUP_DIV_DROP_200B_divisor_50B,3.33098,77263.4,100,true
3,2DUP_MOD_DROP_200B_divisor_50B,3.29323,76387.6,100,true
4,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,3.00269,69648.5,99.9999,false
5,2DUP_DIV_DROP_200B_divisor_1B,2.96288,68725.1,100,true
6,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.94424,68292.6,99.9999,false
7,2DUP_MOD_DROP_200B_divisor_1B,2.89984,67262.9,100,true
8,HASH256_DROP_DUP_520Bx2,2.77464,64358.9,91.8667,false
9,2DUP_DIV_DROP_200B_divisor_12B,2.77128,64280.9,100,true
10,HASH160_DROP_DUP_520Bx2,2.72362,63175.4,91.8667,false
11,2DUP_MOD_DROP_200B_divisor_12B,2.69526,62517.5,100,true
12,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,2.68981,62391.2,99.9999,false
13,HASH256_DROP_DUP_1KBx2,2.60678,60465.3,100,true
14,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,2.5945,60180.4,100,true
15,HASH160_DROP_DUP_1KBx2,2.57769,59790.4,100,true
16,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,2.56575,59513.5,100,true
17,2DUP_DIV_DROP_256B_divisor_64B,2.56441,59482.4,100,true
18,2DUP_MOD_DROP_256B_divisor_64B,2.53898,58892.5,100,true
