# CPU: Apple M1 Pro
# Architecture: ARM64
# Compiler: Clang 16.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.55386 sec) vs Schnorr (2.16072 sec):
# Suggested budget: 13905.5 varops per weight unit (current: 10000)
# Formula: 10000 / 1.55386 * 2.16072 = 13905.5
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  2.171 sec  (6.7% varops)
# Schnorr (80K sigs):       2.161 sec
# Schnorr realistic (~10K): 0.270 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  1.554 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.716
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.17117,80386.8,6.68572,false
2,Schnorr signature validation,2.16072,80000,0,false
3,RIPEMD160_DROP_DUP_520Bx2,1.70051,62960.8,5.2,false
4,2DUP_DIV_DROP_200B_divisor_50B,1.55386,57531.1,100,true
5,2DUP_MOD_DROP_200B_divisor_50B,1.54168,57080,100,true
6,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.40009,51837.9,6.68572,false
7,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_256Bx2,1.23636,45775.9,3.29143,false
8,2DUP_DIV_DROP_200B_divisor_12B,1.15789,42870.6,100,true
9,2DUP_MOD_DROP_520B_divisor_130B,1.12458,41637.3,99.9999,true
10,2DUP_DIV_DROP_520B_divisor_130B,1.11527,41292.6,99.9999,true
11,2DUP_DIV_DROP_256B_divisor_64B,1.10222,40809.1,100,true
12,2DUP_MOD_DROP_256B_divisor_64B,1.09717,40622.1,100,true
13,2DUP_ADD_DROP_2KBx2,1.09385,40499.3,100,true
14,SHA1_DROP_DUP_520Bx2,1.08874,40310.3,5.2,false
15,2DUP_MOD_DROP_200B_divisor_12B,1.08721,40253.6,100,true
16,2DUP_SUB_DROP_4KBx2,1.05606,39100.1,100,true
17,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,1.02182,37832.7,2.57143,false
18,2DUP_DIV_DROP_200B_divisor_1B,1.02167,37826.8,100,true
19,2DUP_ADD_DROP_4KBx2,1.00683,37277.5,100,true
20,2DUP_MUL_DROP_1KB_1B,1.00494,37207.4,99.9999,true
21,2DUP_SUB_DROP_64KBx2,0.998317,36962.3,99.9997,true
22,2DUP_SUB_DROP_1.3MBx2,0.996446,36893,99.9894,true
23,2DUP_SUB_DROP_8KBx2,0.993471,36782.9,100,true
24,2DUP_SUB_DROP_2MBx2,0.989343,36630.1,99.99,true
25,2DUP_SUB_DROP_1MBx2,0.988725,36607.2,99.987,true
26,2DUP_MOD_DROP_1KB_divisor_256B,0.980557,36304.8,99.9998,true
27,2DUP_DIV_DROP_1KB_divisor_256B,0.980372,36297.9,99.9998,true
28,2DUP_SUB_DROP_32KBx2,0.977999,36210.1,99.9997,true
29,2DUP_SUB_DROP_128KBx2,0.97311,36029,99.9988,true
30,2DUP_MOD_DROP_200B_divisor_1B,0.971198,35958.3,100,true
31,2DUP_SUB_DROP_16KBx2,0.96887,35872.1,100,true
32,3DUP_WITHIN_DROP_2KBx2,0.963087,35658,88.7467,true
33,RIPEMD160_DROP_DUP_256Bx2,0.962226,35626.1,2.56,false
34,2DUP_SUB_DROP_512KBx2,0.96063,35567,99.9948,true
35,2DUP_ADD_DROP_64KBx2,0.95416,35327.4,99.9997,true
36,2DUP_SUB_DROP_256KBx2,0.953494,35302.8,99.9988,true
37,2DUP_ADD_DROP_1.3MBx2,0.951466,35227.7,99.9994,true
38,2DUP_ADD_DROP_8KBx2,0.948902,35132.7,99.9999,true
39,2DUP_ADD_DROP_2MBx2,0.945648,35012.3,99.975,true
40,2DUP_ADD_DROP_1MBx2,0.94511,34992.4,99.9948,true
41,2DUP_SUB_DROP_2KBx2,0.938138,34734.2,81.92,true
42,2DUP_ADD_DROP_16KBx2,0.932535,34526.8,100,true
43,2DUP_DIV_DROP_100B_divisor_25B,0.932407,34522,29.8033,true
44,2DUP_ADD_DROP_32KBx2,0.931208,34477.6,99.9997,true
45,2DUP_ADD_DROP_128KBx2,0.924707,34236.9,99.9997,true
46,2DUP_ADD_DROP_256KBx2,0.913937,33838.2,99.9988,true
47,2DUP_ADD_DROP_512KBx2,0.913425,33819.2,99.9948,true
48,2DUP_DIV_DROP_2KB_divisor_512B,0.912277,33776.7,99.9953,true
49,2DUP_MOD_DROP_2KB_divisor_512B,0.911907,33763,99.9953,true
50,3DUP_WITHIN_DROP_4KBx2,0.904352,33483.3,100,true
51,2DUP_MOD_DROP_64KB_divisor_16KB,0.898932,33282.6,93.1067,true
52,2DUP_DIV_DROP_64KB_divisor_16KB,0.894885,33132.8,93.1067,true
53,2DUP_MUL_DROP_2KB_1B,0.889659,32939.3,99.9999,true
54,2DUP_MOD_DROP_100B_divisor_25B,0.887962,32876.5,29.8033,true
55,2DUP_DIV_DROP_8KB_divisor_2KB,0.868663,32161.9,99.9596,true
56,2DUP_MOD_DROP_4KB_divisor_1KB,0.868387,32151.7,99.9795,true
57,2DUP_MOD_DROP_8KB_divisor_2KB,0.866977,32099.5,99.9596,true
58,2DUP_DIV_DROP_16KB_divisor_4KB,0.865967,32062.1,99.9765,true
59,2DUP_MOD_DROP_16KB_divisor_4KB,0.862675,31940.2,99.9765,true
60,2DUP_DIV_DROP_4KB_divisor_1KB,0.862148,31920.7,99.9795,true
61,2DUP_LESSTHANOREQUAL_DROP_4KBx2,0.857548,31750.4,100,true
62,2DUP_MOD_DROP_32KB_divisor_8KB,0.85245,31561.7,98.5291,true
63,2DUP_GREATERTHANOREQUAL_DROP_4KBx2,0.851164,31514,100,true
64,2DUP_NUMEQUAL_DROP_4KBx2,0.849676,31458.9,100,true
65,2DUP_LESSTHAN_DROP_4KBx2,0.847154,31365.6,100,true
66,2DUP_DIV_DROP_32KB_divisor_8KB,0.846504,31341.5,98.5291,true
67,2DUP_NUMEQUALVERIFY_2KBx2,0.844097,31252.4,81.92,true
68,2DUP_NUMNOTEQUAL_DROP_4KBx2,0.84156,31158.5,100,true
69,2DUP_GREATERTHAN_DROP_4KBx2,0.836576,30973.9,100,true
70,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_2KBx2,0.835098,30919.2,100,true
71,2DUP_NUMEQUALVERIFY_4KBx2,0.827278,30629.7,100,true
72,2DUP_MUL_DROP_4KB_1B,0.82199,30433.9,99.9997,true
73,3DUP_WITHIN_DROP_8KBx2,0.821037,30398.6,99.9999,true
74,2DUP_MOD_DROP_128KB_divisor_32KB,0.818789,30315.4,85.9229,true
75,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_256Bx2,0.810614,30012.7,3.29143,false
76,2DUP_DIV_DROP_128B_divisor_32B,0.806152,29847.5,46.1133,true
77,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_128Bx2,0.791989,29323.1,1.64572,false
78,RIPEMD160_DROP_DUP_200Bx32k,0.7913,29297.6,2,false
79,2DUP_MUL_DROP_8KB_1B,0.79103,29287.6,99.9996,true
80,2DUP_DIV_DROP_128KB_divisor_32KB,0.790878,29282,85.9229,true
81,3DUP_WITHIN_DROP_32KBx2,0.789147,29217.9,99.9997,true
82,2DUP_DIV_DROP_256B_divisor_1B,0.787021,29139.2,100,true
83,2DUP_MUL_DROP_16KB_1B,0.775869,28726.3,99.9999,true
84,2DUP_MUL_DROP_64KB_1B,0.773486,28638,99.9981,true
85,3DUP_WITHIN_DROP_1MBx2,0.773126,28624.7,99.987,true
86,3DUP_WITHIN_DROP_1.3MBx2,0.77282,28613.4,99.9794,true
87,3DUP_WITHIN_DROP_512KBx2,0.771778,28574.8,99.9988,true
88,3DUP_WITHIN_DROP_64KBx2,0.770492,28527.2,99.9997,true
89,2DUP_MOD_DROP_128B_divisor_32B,0.770253,28518.3,46.1133,true
90,2DUP_DIV_DROP_128B_divisor_1B,0.769752,28499.8,45.39,true
91,3DUP_WITHIN_DROP_16KBx2,0.768898,28468.2,99.9997,true
92,2DUP_MUL_DROP_128KB_1B,0.767021,28398.7,99.993,true
93,2DUP_MUL_DROP_32KB_1B,0.766186,28367.7,99.9981,true
94,2DUP_MUL_DROP_2MB_1B,0.763602,28272.1,99.99,true
95,2DUP_MUL_DROP_1.3MB_1B,0.763248,28259,99.9695,true
96,2DUP_MUL_DROP_256KB_1B,0.762024,28213.7,99.9831,true
97,2DUP_MUL_DROP_1MB_1B,0.760942,28173.6,99.9241,true
98,2DUP_MUL_DROP_512KB_1B,0.755783,27982.6,99.9634,true
99,3DUP_WITHIN_DROP_128KBx2,0.752148,27848,99.9997,true
100,2DUP_MUL_DROP_520B_1B,0.750811,27798.5,57.22,true
101,2DUP_DIV_DROP_100B_divisor_1B,0.748138,27699.5,29.2433,true
102,3DUP_WITHIN_DROP_256KBx2,0.746947,27655.5,99.9955,true
103,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,0.743277,27519.6,99.9999,false
104,2DUP_GREATERTHANOREQUAL_DROP_8KBx2,0.733569,27160.1,99.9999,true
105,1ADD_DROP_DUP_4KBx2,0.732311,27113.5,100,true
106,2DUP_LESSTHANOREQUAL_DROP_8KBx2,0.729719,27017.6,99.9999,true
107,2DUP_NUMEQUAL_DROP_8KBx2,0.72949,27009.1,99.9999,true
108,2DUP_NUMNOTEQUAL_DROP_8KBx2,0.727127,26921.6,99.9999,true
109,2DUP_MOD_DROP_128B_divisor_1B,0.724861,26837.7,45.39,true
110,2DUP_LESSTHAN_DROP_8KBx2,0.724634,26829.3,99.9999,true
111,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_4KBx2,0.72428,26816.2,100,true
112,2DUP_NUMEQUALVERIFY_8KBx2,0.721405,26709.8,99.9999,true
113,2DUP_GREATERTHAN_DROP_8KBx2,0.718031,26584.8,99.9999,true
114,2DUP_MOD_DROP_256B_divisor_1B,0.714297,26446.6,100,true
115,2DUP_DIV_DROP_100B_divisor_6B,0.712195,26368.8,29.36,true
116,2DUP_DIV_DROP_256B_divisor_16B,0.701075,25957.1,99.9999,true
117,2DUP_LESSTHAN_DROP_64KBx2,0.699015,25880.8,99.9997,true
118,2DUP_MOD_DROP_100B_divisor_1B,0.696087,25772.4,29.2433,true
119,2DUP_LESSTHANOREQUAL_DROP_64KBx2,0.694569,25716.2,99.9997,true
120,HASH160_DROP_DUP_520Bx2,0.693932,25692.6,91.8667,false
121,2DUP_ADD_DROP_1KBx2,0.692114,25625.3,51.2,true
122,2DUP_NUMEQUAL_DROP_64KBx2,0.691446,25600.6,99.9997,true
