# CPU: Apple M2
# Architecture: ARM64
# Compiler: Clang 16.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.58829 sec) vs Schnorr (1.94543 sec):
# Suggested budget: 3908.46 varops per weight unit (current: 5200)
# Formula: 5200 / 2.58829 * 1.94543 = 3908.46
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,TUCK_DROP_100KBx2,2.58829,106436,100,true
2,NIP_DUP_100KBx2,2.54437,104629,100,true
3,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.31957,95385.2,4.28572,false
4,Schnorr signature validation,1.94543,80000,0,false
5,RIPEMD160_DROP_DUP_520Bx2,1.61777,66525.9,3.33333,false
6,ADD_DUP_2MBx2,1.48916,61237,99.9969,true
7,ADD_DUP_200Bx32k,1.43735,59106.4,100,false
8,ADD_DUP_520Bx2,1.4193,58364.3,99.9995,false
9,ADD_DUP_100KBx2,1.4129,58101.2,99.9998,true
10,ADD_DUP_100Bx2,1.38569,56982.3,99.9998,false
11,DUP_ADD_DROP_DUP_10KBx2,1.37847,56685.5,99.9999,true
12,ADD_DUP_1KBx2,1.37769,56653.1,99.9999,true
13,ADD_DUP_1Bx2,1.37469,56529.8,100,false
14,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.35592,55757.9,4.28572,false
15,DUP_ADD_DROP_DUP_100KBx2,1.35486,55714.5,99.9986,true
16,ADD_DUP_10KBx2,1.34178,55176.5,100,true
17,ADD_DUP_10Bx2,1.33673,54969,100,false
18,ADD_DUP_1MBx2,1.33448,54876.6,99.9972,true
19,IFDUP_DROP_100KBx2,1.3316,54758,100,true
20,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,1.25478,51598.9,90.6594,true
21,DUP_SUB_DROP_DUP_100KBx2,1.24214,51079.1,100,true
22,DUP_MUL_DROP_DUP_10KBx2,1.21987,50163.3,99.9331,true
23,DUP_MUL_DROP_DUP_1KBx2,1.20781,49667.3,99.9993,true
24,DUP_MUL_DROP_DUP_200Bx32k,1.19408,49103.1,99.9999,true
25,DUP_ADD_DROP_DUP_2MBx2,1.18391,48684.5,99.9904,true
26,DUP_MUL_DROP_DUP_520Bx2,1.18117,48572.1,99.9992,true
27,DUP_SUB_DROP_DUP_10KBx2,1.17078,48144.8,100,true
28,DUP_ADD_DROP_DUP_1MBx2,1.15768,47606.1,99.9856,true
29,DUP_SUB_DROP_DUP_2MBx2,1.14834,47222.1,100,true
30,DUP_SUB_DROP_DUP_1MBx2,1.12228,46150.2,100,true
31,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,1.1146,45834.5,1.64835,false
32,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,1.09345,44965,100,true
33,MUL_DUP_520Bx2,1.05801,43507.3,85.2016,true
34,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,1.05468,43370.6,90.6594,true
35,SHA1_DROP_DUP_520Bx2,1.05321,43310,3.33333,false
36,DUP_DUP_WITHIN_DROP_DUP_10KBx2,1.02693,42229.2,100,true
37,DUP_GREATERTHAN_DROP_DUP_10KBx2,1.01913,41908.6,100,true
38,MUL_DUP_1Bx2,1.0155,41759.3,82.4893,true
39,DUP_DUP_WITHIN_DROP_DUP_100KBx2,0.976343,40149.1,100,true
40,DUP_NUMEQUAL_DROP_DUP_10KBx2,0.974731,40082.8,100,true
41,HASH160_DROP_DUP_1KBx2,0.973547,40034.1,70.5129,true
42,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,0.97312,40016.6,100,true
43,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,0.972738,40000.9,90.6594,true
44,MUL_DUP_1KBx2,0.971489,39949.5,78.7729,true
45,DUP_NUMEQUALVERIFY_DUP_10KBx2,0.965248,39692.9,100,true
46,DUP_LEFT_DROP_DUP_100KBx2_offset_10B,0.964452,39660.1,99.9995,true
47,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,0.964026,39642.6,100,true
48,DUP_LEFT_DROP_DUP_100KBx2_offset_100B,0.961046,39520.1,99.9995,true
49,DUP_LEFT_DROP_DUP_100KBx2_offset_10KB,0.960647,39503.7,99.9995,true
50,DUP_LESSTHAN_DROP_DUP_10KBx2,0.956319,39325.7,100,true
51,DUP_DUP_WITHIN_DROP_DUP_2MBx2,0.955201,39279.7,100,true
52,DUP_LEFT_DROP_DUP_100KBx2_offset_1KB,0.945273,38871.5,99.9995,true
53,DUP_DUP_WITHIN_DROP_DUP_1MBx2,0.935762,38480.3,100,true
54,DUP_GREATERTHANOREQUAL_DROP_DUP_100KBx2,0.934673,38435.6,100,true
55,DUP_GREATERTHAN_DROP_DUP_100KBx2,0.914491,37605.7,100,true
56,DUP_NUMEQUAL_DROP_DUP_100KBx2,0.909653,37406.7,100,true
57,HASH160_DROP_DUP_100KBx2,0.90674,37286.9,99.9995,true
58,DUP_LESSTHANOREQUAL_DROP_DUP_100KBx2,0.906705,37285.5,100,true
59,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.902461,37110.9,99.9997,true
60,DUP_DUP_SUBSTR_DROP_DUP_100Bx2,0.902058,37094.4,0.0769163,true
61,DUP_LESSTHAN_DROP_DUP_100KBx2,0.898743,36958.1,100,true
62,HASH160_DROP_DUP_10KBx2,0.896869,36881,100,true
63,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,0.896833,36879.5,100,true
64,HASH256_DROP_DUP_2MBx2,0.894146,36769,99.9519,true
65,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.893626,36747.6,99.9997,true
66,DUP_NUMEQUALVERIFY_DUP_100KBx2,0.89108,36642.9,100,true
67,DUP_MUL_DROP_DUP_100KBx2,0.888117,36521.1,72.1197,true
68,HASH256_DROP_DUP_10KBx2,0.880505,36208.1,100,true
69,DUP_GREATERTHAN_DROP_DUP_2MBx2,0.878939,36143.7,100,true
70,HASH160_DROP_DUP_2MBx2,0.876895,36059.6,99.9519,true
71,HASH256_DROP_DUP_100KBx2,0.876676,36050.6,99.9995,true
72,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.870049,35778.1,99.9997,true
73,DUP_DUP_SUBSTR_DROP_DUP_1Bx2,0.867876,35688.7,0.000769163,true
74,1ADD_DROP_DUP_10KBx2,0.866451,35630.1,100,true
75,DUP_GREATERTHAN_DROP_DUP_1MBx2,0.863339,35502.2,100,true
76,DUP_DUP_SUBSTR_DROP_DUP_10Bx2,0.860638,35391.1,0.00769163,true
77,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,0.860561,35388,100,true
78,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,0.860546,35387.3,100,true
79,HASH256_DROP_DUP_1MBx2,0.858834,35316.9,100,true
80,SHA256_DROP_DUP_10KBx2,0.857477,35261.1,100,true
81,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.855633,35185.3,99.9995,true
82,SHA256_DROP_DUP_100KBx2,0.853433,35094.8,99.9995,true
83,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,0.852599,35060.5,47.1429,false
84,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,0.851814,35028.2,99.9995,true
85,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,0.85171,35024,99.9995,true
86,HASH160_DROP_DUP_1MBx2,0.850335,34967.4,100,true
87,SHA256_DROP_DUP_2MBx2,0.847472,34849.7,99.9519,true
88,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,0.845891,34784.7,99.9663,true
89,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,0.842615,34650,100,true
90,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,0.842443,34642.9,99.9663,true
91,SHA256_DROP_DUP_1MBx2,0.842099,34628.7,100,true
92,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,0.841556,34606.4,99.9663,true
