# CPU: M4 Pro in Ubuntu Docker
# Architecture: ARM64
# Compiler: GCC 13.3.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.3368 sec) vs Schnorr (1.41387 sec):
# Suggested budget: 10576.6 varops per weight unit (current: 10000)
# Formula: 10000 / 1.3368 * 1.41387 = 10576.6
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  1.742 sec  (6.7% varops)
# Schnorr (80K sigs):       1.414 sec
# Schnorr realistic (~10K): 0.177 sec
# Worst GSR:                2DUP_MUL_DROP_1KB_1B  1.337 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.767
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.74221,98578.3,6.68572,false
2,Schnorr signature validation,1.41387,80000,0,false
3,RIPEMD160_DROP_DUP_520Bx2,1.36414,77185.9,5.2,false
4,2DUP_MUL_DROP_1KB_1B,1.3368,75638.9,99.9999,true
5,2DUP_DIV_DROP_200B_divisor_50B,1.19389,67552.9,100,true
6,2DUP_MOD_DROP_200B_divisor_50B,1.16601,65975.4,100,true
7,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_32KBx2,1.15106,65129.9,99.9995,true
8,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_128KBx2,1.13938,64468.8,99.9997,true
9,2DUP_MUL_DROP_2KB_1B,1.13181,64040.3,99.9999,true
10,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_512KBx2,1.12754,63798.6,99.9948,true
11,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_1MBx2,1.12745,63793.7,99.9948,true
12,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_1.3MBx2,1.12634,63730.8,99.9894,true
13,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_256KBx2,1.12623,63724.8,99.9988,true
14,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_64KBx2,1.11904,63317.9,99.9997,true
15,1SUB_DROP_DUP_64KBx2,1.11749,63230.2,99.9997,true
16,2DUP_MUL_DROP_4KB_1B,1.08147,61191.9,99.9997,true
17,2DUP_MUL_DROP_64KB_1B,1.07657,60914.8,99.9981,true
18,2DUP_MUL_DROP_512KB_1B,1.06885,60478.1,99.9634,true
19,2DUP_MUL_DROP_8KB_1B,1.06612,60323.3,99.9996,true
