# CPU: Apple M4 Pro (ubuntu docker)
# Architecture: ARM64
# Compiler: GCC 13.3.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.35545 sec) vs Schnorr (1.27912 sec):
# Suggested budget: 4907.17 varops per weight unit (current: 5200)
# Formula: 5200 / 1.35545 * 1.27912 = 4907.17
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.73676,108622,4.28572,false
2,MUL_DUP_1Bx2,1.61704,101134,82.4893,true
3,RIPEMD160_DROP_DUP_520Bx2,1.3668,85483.3,3.33333,false
4,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_10KBx2,1.35545,84773.9,100,true
5,Schnorr signature validation,1.27912,80000,0,false
6,ADD_DUP_1MBx2,1.13036,70696.1,99.9972,true
7,ADD_DUP_100KBx2,1.1074,69260.2,99.9998,true
8,DUP_MUL_DROP_DUP_200Bx32k,1.09395,68418.5,99.9999,true
9,DUP_ADD_DROP_DUP_100KBx2,1.00524,62870.7,99.9986,true
10,DUP_ADD_DROP_DUP_2MBx2,1.00215,62677.3,99.9904,true
11,DUP_ADD_DROP_DUP_1MBx2,0.997974,62416.1,99.9856,true
12,DUP_ADD_DROP_DUP_10KBx2,0.979301,61248.3,99.9999,true
13,DUP_MUL_DROP_DUP_520Bx2,0.972471,60821.1,99.9992,true
14,DUP_MUL_DROP_DUP_1KBx2,0.956064,59795,99.9993,true
15,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,0.951775,59526.7,90.6594,true
16,DUP_MUL_DROP_DUP_10KBx2,0.950908,59472.5,99.9331,true
17,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,0.914493,57195,4.28572,false
18,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.819058,51226.2,1.64835,false
19,MUL_DUP_100Bx2,0.80946,50625.9,50.4162,true
20,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,0.789131,49354.5,90.6594,true
21,1ADD_DROP_DUP_2MBx2,0.728993,45593.3,100,true
22,SHA1_DROP_DUP_520Bx2,0.725062,45347.4,3.33333,false
23,ROLL_DUP_MAX_STACK_SIZE,0.724894,45336.9,99.9984,true
24,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1MBx2,0.724052,45284.3,99.9856,true
25,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,0.721081,45098.5,90.6594,true
26,HASH160_DROP_DUP_1KBx2,0.719813,45019.1,70.5129,true
27,1ADD_DROP_DUP_1MBx2,0.719592,45005.3,100,true
28,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.719449,44996.4,99.9997,true
29,HASH160_DROP_DUP_10KBx2,0.719415,44994.3,100,true
30,1ADD_DROP_DUP_100KBx2,0.718904,44962.3,100,true
31,HASH160_DROP_DUP_100KBx2,0.71674,44826.9,99.9995,true
32,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_100KBx2,0.713176,44604,99.9986,true
33,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.710813,44456.3,99.9997,true
34,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_10KBx2,0.707411,44243.5,99.9999,true
35,SHA256_DROP_DUP_100KBx2,0.706756,44202.5,99.9995,true
36,1ADD_DROP_DUP_10KBx2,0.703532,44000.9,100,true
37,SHA256_DROP_DUP_10KBx2,0.701132,43850.8,100,true
38,DUP_MUL_DROP_DUP_100KBx2,0.700989,43841.8,72.1197,true
39,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,0.700821,43831.3,99.9995,true
40,HASH256_DROP_DUP_100KBx2,0.699016,43718.4,99.9995,true
41,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.697279,43609.8,99.9995,true
42,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.696274,43547,99.9997,true
43,HASH256_DROP_DUP_10KBx2,0.695586,43503.9,100,true
44,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,0.695544,43501.3,99.9995,true
45,HASH160_DROP_DUP_2MBx2,0.69538,43491,99.9519,true
