# CPU: Apple M4 Pro
# Architecture: ARM64
# Compiler: Clang 17.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.06322 sec) vs Schnorr (1.11959 sec):
# Suggested budget: 10530.2 varops per weight unit (current: 10000)
# Formula: 10000 / 1.06322 * 1.11959 = 10530.2
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  1.620 sec  (6.7% varops)
# Schnorr (80K sigs):       1.120 sec
# Schnorr realistic (~10K): 0.140 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  1.063 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.656
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.61958,115727,6.68572,false
2,RIPEMD160_DROP_DUP_520Bx2,1.27501,91106,5.2,false
3,Schnorr signature validation,1.11959,80000,0,false
4,2DUP_DIV_DROP_200B_divisor_50B,1.06322,75972.2,100,true
5,2DUP_MOD_DROP_200B_divisor_50B,1.04152,74421.4,100,true
6,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,0.997734,71293,6.68572,false
7,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_256Bx2,0.916695,65502.4,3.29143,false
8,2DUP_DIV_DROP_200B_divisor_12B,0.849089,60671.6,100,true
9,2DUP_MOD_DROP_200B_divisor_12B,0.807971,57733.5,100,true
10,SHA1_DROP_DUP_520Bx2,0.803067,57383.1,5.2,false
11,2DUP_DIV_DROP_200B_divisor_1B,0.773583,55276.3,100,true
12,2DUP_MOD_DROP_200B_divisor_1B,0.746391,53333.3,100,true
13,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.742239,53036.6,2.57143,false
14,RIPEMD160_DROP_DUP_256Bx2,0.72275,51644.1,2.56,false
15,2DUP_DIV_DROP_256B_divisor_64B,0.713956,51015.7,100,true
16,2DUP_MOD_DROP_256B_divisor_64B,0.713031,50949.6,100,true
17,2DUP_MOD_DROP_520B_divisor_130B,0.703533,50270.9,99.9999,true
18,2DUP_DIV_DROP_520B_divisor_130B,0.699189,49960.5,99.9999,true
19,2DUP_MUL_DROP_1KB_1B,0.685848,49007.2,99.9999,true
20,2DUP_DIV_DROP_100B_divisor_25B,0.66925,47821.2,29.8033,true
21,2DUP_SUB_DROP_4KBx2,0.655826,46862,100,true
22,2DUP_SUB_DROP_64KBx2,0.647737,46284,99.9997,true
23,2DUP_MOD_DROP_100B_divisor_25B,0.645997,46159.7,29.8033,true
24,2DUP_SUB_DROP_128KBx2,0.631263,45106.9,99.9988,true
25,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_2KBx2,0.625629,44704.3,100,true
26,2DUP_SUB_DROP_256KBx2,0.619332,44254.3,99.9988,true
27,2DUP_SUB_DROP_2MBx2,0.616448,44048.3,99.99,true
28,2DUP_SUB_DROP_1.3MBx2,0.616148,44026.8,99.9894,true
29,2DUP_SUB_DROP_1MBx2,0.615121,43953.5,99.987,true
