# CPU: AMD Ryzen 7 3700X 8-Core Processor
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.27302 sec) vs Schnorr (3.56923 sec):
# Suggested budget: 15702.6 varops per weight unit (current: 10000)
# Formula: 10000 / 2.27302 * 3.56923 = 15702.6
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  2.373 sec  (6.7% varops)
# Schnorr (80K sigs):       3.569 sec
# Schnorr realistic (~10K): 0.446 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  2.273 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.958
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.56923,80000,0,false
2,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.37324,53193.4,6.68572,false
3,2DUP_DIV_DROP_200B_divisor_50B,2.27302,50947.1,100,true
4,2DUP_MOD_DROP_200B_divisor_50B,2.25879,50628.1,100,true
5,2DUP_DIV_DROP_200B_divisor_12B,1.90445,42686,100,true
6,RIPEMD160_DROP_DUP_520Bx2,1.85724,41627.9,5.2,false
7,2DUP_MOD_DROP_200B_divisor_12B,1.85342,41542.2,100,true
8,2DUP_DIV_DROP_200B_divisor_1B,1.78072,39912.8,100,true
9,2DUP_MOD_DROP_200B_divisor_1B,1.73409,38867.5,100,true
10,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.70448,38203.9,6.68572,false
11,2DUP_DIV_DROP_256B_divisor_64B,1.65206,37029,100,true
12,2DUP_MOD_DROP_256B_divisor_64B,1.62888,36509.5,100,true
13,2DUP_MUL_DROP_1KB_1B,1.60027,35868.2,99.9999,true
14,2DUP_MUL_DROP_2KB_1B,1.44856,32467.7,99.9999,true
15,2DUP_DIV_DROP_100B_divisor_25B,1.43167,32089.3,29.8033,true
16,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_256Bx2,1.42953,32041.3,3.29143,false
17,2DUP_DIV_DROP_128B_divisor_1B,1.41461,31706.7,45.39,true
18,2DUP_DIV_DROP_520B_divisor_130B,1.3806,30944.4,99.9999,true
19,2DUP_MOD_DROP_100B_divisor_25B,1.37875,30903.1,29.8033,true
20,2DUP_MOD_DROP_128B_divisor_1B,1.37852,30897.8,45.39,true
21,2DUP_DIV_DROP_100B_divisor_1B,1.35445,30358.4,29.2433,true
22,2DUP_MUL_DROP_4KB_1B,1.33648,29955.5,99.9997,true
23,SHA1_DROP_DUP_520Bx2,1.33048,29821.1,5.2,false
24,2DUP_DIV_DROP_128B_divisor_32B,1.32065,29600.9,46.1133,true
25,2DUP_DIV_DROP_256B_divisor_1B,1.31831,29548.4,100,true
26,2DUP_MOD_DROP_520B_divisor_130B,1.31763,29533.1,99.9999,true
27,2DUP_MOD_DROP_256B_divisor_1B,1.28569,28817.3,100,true
28,2DUP_DIV_DROP_100B_divisor_6B,1.27758,28635.5,29.36,true
29,2DUP_MOD_DROP_100B_divisor_1B,1.27557,28590.4,29.2433,true
30,2DUP_MUL_DROP_8KB_1B,1.27426,28560.9,99.9996,true
31,2DUP_MUL_DROP_32KB_1B,1.27273,28526.6,99.9981,true
32,2DUP_MOD_DROP_128B_divisor_32B,1.27182,28506.5,46.1133,true
33,2DUP_MUL_DROP_16KB_1B,1.24843,27982.1,99.9999,true
34,2DUP_MUL_DROP_2MB_1B,1.23731,27732.9,99.99,true
35,2DUP_MUL_DROP_1MB_1B,1.2359,27701.2,99.9241,true
36,2DUP_MUL_DROP_256KB_1B,1.23475,27675.4,99.9831,true
37,2DUP_MUL_DROP_512KB_1B,1.23136,27599.6,99.9634,true
38,2DUP_MUL_DROP_64KB_1B,1.23001,27569.2,99.9981,true
39,2DUP_MUL_DROP_128KB_1B,1.22858,27537.2,99.993,true
40,2DUP_MUL_DROP_1.3MB_1B,1.22719,27506.1,99.9695,true
41,2DUP_MOD_DROP_100B_divisor_6B,1.22121,27372.1,29.36,true
42,2DUP_MOD_DROP_256B_divisor_16B,1.21924,27327.8,99.9999,true
43,2DUP_DIV_DROP_256B_divisor_16B,1.20655,27043.3,99.9999,true
44,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,1.19454,26774.2,2.57143,false
45,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_2KBx2,1.15729,25939.3,100,true
46,2DUP_MUL_DROP_520B_1B,1.13755,25496.8,57.22,true
47,RIPEMD160_DROP_DUP_256Bx2,1.11983,25099.6,2.56,false
48,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_256Bx2,1.0999,24653,3.29143,false
49,2DUP_NUMEQUALVERIFY_2KBx2,1.0998,24650.8,81.92,true
50,2DUP_DIV_DROP_128B_divisor_8B,1.08373,24290.5,45.5533,true
51,ROLL_DUP_MAX_STACK_SIZE,1.07811,24164.7,99.9999,true
