# CPU: AMD Ryzen 7 7700 8-Core Processor
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.13048 sec) vs Schnorr (2.1837 sec):
# Suggested budget: 19316.5 varops per weight unit (current: 10000)
# Formula: 10000 / 1.13048 * 2.1837 = 19316.5
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  1.440 sec  (6.7% varops)
# Schnorr (80K sigs):       2.184 sec
# Schnorr realistic (~10K): 0.273 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  1.130 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 0.785
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,2.1837,80000,0,false
2,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.44044,52770.7,6.68572,false
3,2DUP_DIV_DROP_200B_divisor_50B,1.13048,41415.3,100,true
4,RIPEMD160_DROP_DUP_520Bx2,1.12291,41137.8,5.2,false
5,2DUP_MOD_DROP_200B_divisor_50B,1.12126,41077.6,100,true
6,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,0.953135,34918.2,6.68572,false
7,2DUP_DIV_DROP_200B_divisor_12B,0.9395,34418.7,100,true
8,2DUP_MOD_DROP_200B_divisor_12B,0.912906,33444.4,100,true
9,2DUP_MUL_DROP_1KB_1B,0.905292,33165.5,99.9999,true
10,2DUP_DIV_DROP_200B_divisor_1B,0.897162,32867.6,100,true
11,2DUP_MOD_DROP_200B_divisor_1B,0.875375,32069.5,100,true
12,2DUP_DIV_DROP_256B_divisor_64B,0.842327,30858.7,100,true
13,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_256Bx2,0.842024,30847.6,3.29143,false
14,2DUP_MOD_DROP_256B_divisor_64B,0.83525,30599.4,100,true
15,2DUP_MUL_DROP_2KB_1B,0.822012,30114.5,99.9999,true
16,2DUP_MUL_DROP_4KB_1B,0.779984,28574.8,99.9997,true
17,2DUP_MUL_DROP_8KB_1B,0.756123,27700.6,99.9996,true
18,2DUP_MUL_DROP_16KB_1B,0.754746,27650.2,99.9999,true
19,2DUP_MUL_DROP_1MB_1B,0.750706,27502.2,99.9241,true
20,2DUP_MUL_DROP_128KB_1B,0.747644,27390,99.993,true
21,SHA1_DROP_DUP_520Bx2,0.74419,27263.5,5.2,false
22,2DUP_MUL_DROP_32KB_1B,0.741956,27181.6,99.9981,true
23,2DUP_MUL_DROP_512KB_1B,0.74095,27144.8,99.9634,true
24,2DUP_MUL_DROP_1.3MB_1B,0.738962,27072,99.9695,true
25,2DUP_MUL_DROP_2MB_1B,0.73742,27015.5,99.99,true
26,2DUP_MUL_DROP_64KB_1B,0.735888,26959.3,99.9981,true
27,2DUP_MUL_DROP_256KB_1B,0.735824,26957,99.9831,true
28,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.697055,25536.7,2.57143,false
