# CPU: Ryzen 9 9950X
# Architecture: x86_64
# Compiler: MSVC 1944
# SHA256 Implementation: standard
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.09774 sec) vs Schnorr (2.80674 sec):
# Suggested budget: 13379.8 varops per weight unit (current: 10000)
# Formula: 10000 / 2.09774 * 2.80674 = 13379.8
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2  2.072 sec  (100.0% varops)
# Schnorr (80K sigs):       2.807 sec
# Schnorr realistic (~10K): 0.351 sec
# Worst GSR:                2DUP_LSHIFT_DROP_1MB_shift_8bits  2.098 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 1.012
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,2.80674,80000,0,false
2,2DUP_LSHIFT_DROP_1MB_shift_8bits,2.09774,59791.6,99.9949,true
3,2DUP_LSHIFT_DROP_1MB_shift_1Mbits,2.09545,59726.2,99.9996,true
4,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,2.07226,59065.4,99.9999,false
5,ABS_DROP_DUP_1MBx2,2.06198,58772.3,99.9948,true
6,NEGATE_DROP_DUP_1MBx2,2.05246,58501.1,99.9948,true
7,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.04942,58414.2,99.9999,false
8,2DUP_LSHIFT_DROP_1MB_shift_64bits,2.04533,58297.6,99.9952,true
9,2DUP_CAT_DROP_1MBx2,2.02631,57755.5,99.987,true
10,2DUP_LSHIFT_DROP_1.3MB_shift_64bits,2.02321,57667.3,99.9996,true
11,2DUP_LSHIFT_DROP_1MB_shift_10Kbits,2.02131,57613,99.9963,true
12,2DUP_LSHIFT_DROP_1MB_shift_100Kbits,2.01965,57565.7,99.9992,true
13,2DUP_LSHIFT_DROP_1MB_shift_1Kbits,2.01176,57341,99.9991,true
14,2DUP_2DROP_1MBx2,2.01115,57323.4,99.987,true
15,2OVER_2DROP_1MBx2,2.00884,57257.6,99.987,true
16,2DUP_RIGHT_DROP_1.3MB_offset_10B,1.99855,56964.4,99.9903,true
17,2DUP_LEFT_DROP_1.3MB_offset_100B,1.99777,56942,99.9995,true
18,3DUP_SUBSTR_DROP_1.3MB_start500B_len1KB,1.99764,56938.5,99.9952,true
19,3DUP_SUBSTR_DROP_1.3MB_start50B_len100B,1.99744,56932.8,99.9972,true
20,3DUP_SUBSTR_DROP_1.3MB_start0_len1KB,1.99719,56925.6,99.995,true
21,2DUP_LEFT_DROP_1.3MB_offset_1KB,1.99697,56919.3,99.9996,true
22,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_1MBx2,1.99562,56880.9,99.987,true
23,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_1MBx2,1.99529,56871.6,99.987,true
24,2DUP_2DROP_1.3MBx2,1.99481,56857.8,99.9894,true
25,3DUP_SUBSTR_DROP_1.3MB_start5B_len10B,1.99471,56854.8,99.9904,true
26,TUCK_DROP_1.3MBx2,1.9946,56851.9,99.9994,true
27,2DUP_LEFT_DROP_1.3MB_offset_100KB,1.99442,56846.7,99.9998,true
