# CPU: AMD Ryzen 9 9950X
# Architecture: x86_64
# Compiler: MSVC 1944
# SHA256 Implementation: standard
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (3.31778 sec) vs Schnorr (2.67116 sec):
# Suggested budget: 4186.54 varops per weight unit (current: 5200)
# Formula: 5200 / 3.31778 * 2.67116 = 4186.54
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,3.56264,106699,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,3.54441,106153,90.6594,true
3,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,3.36585,100806,90.6594,true
4,HASH256_DROP_DUP_2MBx2,3.31778,99366.1,99.9519,true
5,HASH160_DROP_DUP_2MBx2,3.29875,98796.1,99.9519,true
6,SHA256_DROP_DUP_2MBx2,3.2983,98782.6,99.9519,true
7,DUP_CAT_DROP_DUP_2MBx2,3.21304,96229.2,100,true
8,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,3.1758,95113.6,99.9997,true
9,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,3.17279,95023.6,99.9997,true
10,HASH160_DROP_DUP_10KBx2,3.16982,94934.7,100,true
11,3DUP_SUBSTR_DROP_2MBx2_start5KB_len10KB,3.16532,94799.8,99.9979,true
12,3DUP_SUBSTR_DROP_2MBx2_start0_len1KB,3.16116,94675.2,99.9925,true
13,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,3.16114,94674.7,99.9997,true
14,3DUP_SUBSTR_DROP_2MBx2_start50B_len100B,3.15944,94623.9,99.9956,true
15,3DUP_SUBSTR_DROP_2MBx2_start500B_len1KB,3.15631,94530.1,99.9927,true
16,3DUP_SUBSTR_DROP_2MBx2_start0_len100B,3.15545,94504.3,99.9955,true
17,HASH256_DROP_DUP_10KBx2,3.15269,94421.6,100,true
18,3DUP_SUBSTR_DROP_2MBx2_start0_len10B,3.14412,94165,99.991,true
19,3DUP_SUBSTR_DROP_2MBx2_start0_len10KB,3.14332,94141.1,99.9977,true
20,3DUP_SUBSTR_DROP_2MBx2_start5B_len10B,3.14292,94128.9,99.9911,true
21,ABS_DROP_DUP_2MBx2,3.13778,93975,100,true
22,DROP_DUP_2MBx2,3.13513,93895.6,100,true
23,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,3.1319,93799.1,99.9995,true
24,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,3.13103,93772.8,99.9995,true
25,SHA256_DROP_DUP_10KBx2,3.13,93742.2,100,true
26,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,3.12752,93667.9,99.9663,true
27,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,3.12531,93601.5,99.9995,true
28,DUP_DROP_2MBx2,3.11969,93433.3,100,true
29,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,3.11394,93261,99.9663,true
30,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,3.11039,93154.8,99.9663,true
31,HASH160_DROP_DUP_100KBx2,3.1059,93020.4,99.9995,true
32,HASH256_DROP_DUP_100KBx2,3.10224,92910.8,99.9995,true
33,SHA256_DROP_DUP_1MBx2,3.09514,92698.1,100,true
34,SHA256_DROP_DUP_100KBx2,3.09332,92643.4,99.9995,true
35,HASH160_DROP_DUP_1MBx2,3.08638,92435.8,100,true
36,HASH256_DROP_DUP_1MBx2,3.08508,92396.6,100,true
37,2DUP_LSHIFT_DROP_2MBx2_shift_10Kbits,3.08422,92370.8,99.9936,true
38,3DUP_SUBSTR_DROP_2MBx2_start0_len100KB,3.08382,92358.9,99.9926,true
39,2DUP_LSHIFT_DROP_2MBx2_shift_1Kbits,3.08183,92299.4,99.9937,true
40,2DUP_LSHIFT_DROP_2MBx2_shift_100Kbits,3.0818,92298.5,99.9922,true
41,2DUP_LSHIFT_DROP_2MBx2_shift_64bits,3.0807,92265.6,99.9906,true
42,NIP_DUP_2MBx2,3.07115,91979.4,100,true
43,2DUP_LSHIFT_DROP_2MBx2_shift_8bits,3.07069,91965.9,99.9905,true
44,2DUP_LSHIFT_DROP_2MBx2_shift_1Mbits,3.06805,91886.8,99.9999,true
45,3DUP_SUBSTR_DROP_2MBx2_start50KB_len100KB,3.0666,91843.1,99.9928,true
46,2DUP_2DROP_2MBx2,3.0322,90812.9,100,true
47,2DUP_LEFT_DROP_2MBx2_offset_100KB,3.02902,90717.8,99.9907,true
48,2DUP_RIGHT_DROP_2MBx2_offset_100B,3.02359,90555.2,99.9955,true
49,2DUP_LEFT_DROP_2MBx2_offset_1MB,3.02258,90524.8,99.9907,true
50,2DUP_LEFT_DROP_2MBx2_offset_10B,3.02238,90518.8,99.9905,true
51,2DUP_DROP_DROP_2MBx2,3.02237,90518.6,100,true
52,2DUP_RIGHT_DROP_2MBx2_offset_1KB,3.02169,90498.2,99.9925,true
53,2DUP_RIGHT_DROP_2MBx2_offset_10B,3.02043,90460.6,99.991,true
54,2DUP_LEFT_DROP_2MBx2_offset_1KB,3.02013,90451.5,99.9906,true
55,2DUP_LEFT_DROP_2MBx2_offset_10KB,3.01826,90395.5,99.9906,true
56,2DUP_LEFT_DROP_2MBx2_offset_100B,3.01618,90333.2,99.9905,true
57,2DUP_RIGHT_DROP_2MBx2_offset_10KB,3.01591,90325.1,99.9977,true
58,TUCK_DROP_2MBx2,2.98651,89444.5,100,true
59,2DUP_RIGHT_DROP_2MBx2_offset_100KB,2.96594,88828.4,99.9926,true
60,NEGATE_DROP_DUP_2MBx2,2.9558,88524.7,100,true
61,HASH256_DROP_DUP_1KBx2,2.77618,83145.4,70.5129,true
62,HASH160_DROP_DUP_1KBx2,2.74382,82176.2,70.5129,true
63,Schnorr signature validation,2.67116,80000,0,false
64,SHA256_DROP_DUP_1KBx2,2.61319,78263.8,70.5129,true
65,DUP_NUMEQUALVERIFY_DUP_2MBx2,2.53883,76036.9,100,true
66,DUP_LESSTHAN_DROP_DUP_2MBx2,2.53607,75954,100,true
67,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,2.53606,75953.9,100,true
68,DUP_GREATERTHAN_DROP_DUP_2MBx2,2.53528,75930.5,100,true
69,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,2.52893,75740.3,100,true
70,DUP_NUMEQUAL_DROP_DUP_2MBx2,2.40064,71898,100,true
71,DUP_EQUALVERIFY_DUP_2MBx2,2.39663,71778,100,true
72,DUP_EQUAL_DROP_DUP_2MBx2,2.39423,71706,100,true
73,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,2.3907,71600.4,100,true
74,2DUP_RIGHT_DROP_2MBx2_offset_1MB,2.38922,71556.1,99.9954,true
75,DUP_DUP_WITHIN_DROP_DUP_2MBx2,2.35338,70482.7,100,true
76,3DUP_SUBSTR_DROP_2MBx2_start500KB_len1MB,2.34813,70325.5,99.9956,true
77,3DUP_SUBSTR_DROP_2MBx2_start0_len1MB,2.34379,70195.5,99.9954,true
78,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,2.31788,69419.4,47.1429,false
79,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.29268,68664.7,47.1429,false
80,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,2.14384,64207.1,47.1429,false
81,DUP_ADD_DROP_DUP_2MBx2,2.01237,60269.6,99.9904,true
82,DUP_MIN_DROP_DUP_2MBx2,1.90719,57119.6,100,true
83,DUP_MAX_DROP_DUP_2MBx2,1.89563,56773.3,100,true
84,DUP_AND_DROP_DUP_2MBx2,1.88715,56519.2,100,true
85,DUP_CAT_DROP_DUP_1MBx2,1.87704,56216.4,100,true
86,2DUP_LSHIFT_DROP_1MBx2_shift_8bits,1.84057,55124.1,99.9953,true
87,2DUP_LSHIFT_DROP_1MBx2_shift_64bits,1.83385,54923.1,99.9957,true
88,2DUP_LSHIFT_DROP_1MBx2_shift_100Kbits,1.81359,54316,99.9968,true
89,HASH256_DROP_DUP_520Bx2,1.79867,53869.2,36.6667,false
90,2DUP_LSHIFT_DROP_2MBx2_shift_1bit,1.78857,53566.8,99.9712,true
91,HASH160_DROP_DUP_520Bx2,1.77834,53260.4,36.6667,false
92,DUP_OR_DROP_DUP_2MBx2,1.77303,53101.3,100,true
93,DUP_XOR_DROP_DUP_2MBx2,1.76598,52890.3,100,true
94,2DUP_LSHIFT_DROP_1MBx2_shift_1Mbits,1.74112,52145.8,99.9967,true
95,2DUP_LSHIFT_DROP_1MBx2_shift_10Kbits,1.7099,51210.7,99.9968,true
96,2DUP_LSHIFT_DROP_1MBx2_shift_1Kbits,1.70788,51150.2,99.997,true
97,SHA256_DROP_DUP_520Bx2,1.65253,49492.5,36.6667,false
98,DUP_BOOLOR_DROP_DUP_2MBx2,1.61496,48367.2,100,true
99,DUP_BOOLAND_DROP_DUP_2MBx2,1.60447,48053.1,100,true
100,IFDUP_DROP_2MBx2,1.52317,45618.1,100,true
101,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.50757,45151.1,4.28572,false
102,0NOTEQUAL_DROP_DUP_2MBx2,1.50388,45040.6,100,true
103,NOT_DROP_DUP_2MBx2,1.48339,44426.8,100,true
104,VERIFY_DUP_2MBx2,1.47984,44320.6,100,true
105,DUP_SUB_DROP_DUP_2MBx2,1.44977,43420,100,true
106,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,1.4234,42630,18.1319,false
107,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,1.39763,41858.3,18.1319,false
108,2DUP_RSHIFT_DROP_2MBx2_shift_1Mbits,1.35857,40688.6,99.9988,true
109,2DUP_RSHIFT_DROP_2MBx2_shift_1bit,1.34191,40189.5,99.9904,true
110,1ADD_DROP_DUP_2MBx2,1.32594,39711.4,100,true
111,2DUP_RSHIFT_DROP_2MBx2_shift_64bits,1.24293,37225,99.9902,true
112,2DUP_RSHIFT_DROP_2MBx2_shift_8bits,1.24121,37173.6,99.9904,true
113,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_200Bx32k,1.241,37167.2,18.1319,false
114,2DUP_RSHIFT_DROP_2MBx2_shift_10Kbits,1.22871,36799.4,99.9958,true
115,2DUP_RSHIFT_DROP_2MBx2_shift_1Kbits,1.22542,36700.6,99.9862,true
116,2DUP_RSHIFT_DROP_2MBx2_shift_100Kbits,1.20953,36224.9,99.9947,true
117,RIPEMD160_DROP_DUP_520Bx2,1.17017,35046,3.33333,false
118,2DUP_LSHIFT_DROP_1MBx2_shift_1bit,1.1505,34456.9,99.9856,true
119,HASH256_DROP_DUP_200Bx32k,1.10455,33080.7,14.1026,false
120,DUP_ADD_DROP_DUP_1MBx2,1.10273,33026.3,99.9856,true
121,HASH160_DROP_DUP_200Bx32k,1.08872,32606.6,14.1026,false
122,1SUB_DROP_DUP_2MBx2,1.0073,30168.1,100,true
123,DUP_MUL_DROP_DUP_520Bx2,0.975506,29215.9,99.9992,true
124,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,0.959186,28727.2,4.28572,false
125,DUP_MUL_DROP_DUP_200Bx32k,0.952795,28535.8,99.9999,true
126,SHA256_DROP_DUP_200Bx32k,0.948809,28416.4,14.1026,false
127,1ADD_DROP_DUP_1MBx2,0.914132,27377.8,100,true
128,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1MBx2,0.912114,27317.4,99.9856,true
