# CPU: AMD Ryzen Threadripper 2950X 16-Core Processor
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (3.0241 sec) vs Schnorr (4.27581 sec):
# Suggested budget: 14139.1 varops per weight unit (current: 10000)
# Formula: 10000 / 3.0241 * 4.27581 = 14139.1
#
# WORST-CASE COMPARISON:
# Worst existing (pre-GSR): 3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2  2.564 sec  (6.7% varops)
# Schnorr (80K sigs):       4.276 sec
# Schnorr realistic (~10K): 0.534 sec
# Worst GSR:                2DUP_DIV_DROP_200B_divisor_50B  3.024 sec  (100.0% varops)
# Ratio (GSR worst / existing worst): 1.179
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,4.27581,80000,0,false
2,2DUP_DIV_DROP_200B_divisor_50B,3.0241,56580.7,100,true
3,2DUP_MOD_DROP_200B_divisor_50B,3.01909,56486.9,100,true
4,2DUP_DIV_DROP_200B_divisor_12B,2.59276,48510.4,100,true
5,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.56444,47980.5,6.68572,false
6,2DUP_MOD_DROP_200B_divisor_12B,2.51092,46979.1,100,true
7,2DUP_DIV_DROP_256B_divisor_64B,2.28735,42796.1,100,true
8,2DUP_MOD_DROP_256B_divisor_64B,2.27074,42485.4,100,true
9,2DUP_DIV_DROP_200B_divisor_1B,2.07812,38881.5,100,true
10,RIPEMD160_DROP_DUP_520Bx2,2.02716,37928,5.2,false
11,2DUP_MOD_DROP_200B_divisor_1B,1.97601,36971.1,100,true
12,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.93619,36226,6.68572,false
13,2DUP_MUL_DROP_1KB_1B,1.80168,33709.3,99.9999,true
14,2DUP_DIV_DROP_100B_divisor_25B,1.80121,33700.6,29.8033,true
15,2DUP_MOD_DROP_520B_divisor_130B,1.79175,33523.4,99.9999,true
16,2DUP_DIV_DROP_520B_divisor_130B,1.77678,33243.4,99.9999,true
