# CPU: Apple M2
# Architecture: ARM64
# Compiler: Clang 16.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (2.51247 sec) vs Schnorr (1.86167 sec):
# Suggested budget: 3853.05 varops per weight unit (current: 5200)
# Formula: 5200 / 2.51247 * 1.86167 = 3853.05
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage
1,NIP_DUP_100KBx2,2.51247,107966,100
2,TUCK_DROP_100KBx2,2.49996,107428,100
3,Schnorr signature validation,1.86167,80000,0
4,DUP_DUP_2DROP_100KBx2,1.7595,75609.2,100
5,DUP_ADD_DROP_DUP_10KBx2,1.71695,73781,99.9999
6,RIPEMD160_DROP_DUP_520Bx2,1.62664,69900.1,3.33333
7,ADD_DUP_100KBx2,1.40227,60258.4,99.9998
8,ADD_DUP_100Bx2,1.35797,58354.7,99.9998
9,ADD_DUP_1KBx2,1.34811,57931.3,99.9999
10,ADD_DUP_520Bx2,1.34689,57878.7,99.9995
11,ADD_DUP_200Bx32k,1.34643,57859,100
12,ADD_DUP_1Bx2,1.34575,57829.7,100
13,ADD_DUP_10Bx2,1.34489,57792.6,100
14,ADD_DUP_10KBx2,1.33909,57543.6,100
15,ADD_DUP_2MBx2,1.33439,57341.6,99.9969
16,ADD_DUP_1MBx2,1.32792,57063.6,99.9972
17,IFDUP_DROP_100KBx2,1.2685,54510.2,100
18,DUP_MUL_DROP_DUP_10KBx2,1.2419,53367.2,99.9331
19,DUP_ADD_DROP_DUP_1MBx2,1.22966,52841.2,99.9856
20,DUP_ADD_DROP_DUP_2MBx2,1.2226,52537.5,99.9904
21,DUP_MUL_DROP_DUP_1KBx2,1.21281,52117.1,99.9993
22,DUP_SUB_DROP_DUP_100KBx2,1.18622,50974.3,100
23,DUP_ADD_DROP_DUP_100KBx2,1.17455,50472.9,99.9986
24,DUP_SUB_DROP_DUP_10KBx2,1.16942,50252.4,100
25,DUP_MUL_DROP_DUP_200Bx32k,1.14809,49336,99.9999
26,DUP_MUL_DROP_DUP_520Bx2,1.14734,49303.5,99.9992
27,DUP_SUB_DROP_DUP_2MBx2,1.14592,49242.5,100
28,DUP_SUB_DROP_DUP_1MBx2,1.11936,48101.4,100
29,DUP_DUP_WITHIN_DROP_DUP_10KBx2,1.06812,45899.4,100
30,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.06637,45824.1,100
31,SHA1_DROP_DUP_520Bx2,1.06363,45706.3,3.33333
32,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.05802,45465.1,100
33,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,1.05733,45435.8,100
34,MUL_DUP_520Bx2,1.05552,45357.7,85.2016
35,MUL_DUP_1Bx2,1.02372,43991.5,82.4893
36,DUP_DUP_WITHIN_DROP_DUP_100KBx2,0.983764,42274.4,100
37,DUP_NUMEQUAL_DROP_DUP_10KBx2,0.9718,41760.3,100
38,MUL_DUP_1KBx2,0.965677,41497.2,78.7729
39,DUP_LEFT_DROP_DUP_100KBx2_offset_100B,0.965509,41490,99.9995
40,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,0.96521,41477.1,100
41,DUP_LESSTHAN_DROP_DUP_10KBx2,0.962893,41377.5,100
42,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,0.961913,41335.4,100
